Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,Projection,Datum,Entry Date,File Location,File Size
19138,City of Toronto Open Data,Varies by dataset,<p>City of Toronto</p>,"Comma separated values (.csv), Shapefile (.shp), Microsoft Excel (.xlsx), GeoJSON, Keyhole Markup Language (.kml)",Public,"<p>City of Toronto <a href=""https://open.toronto.ca/"">Open Data Catalogue</a></p>","<p>The data provided by the City of Toronto is categorized into the following groups:</p>
 <ul>
 <li>Business</li>
 <li>City government</li>
 <li>Community services</li>
 <li>Culture and tourism</li>
 <li>Development and infrastructure</li>
 <li>Environment</li>
 <li>Finance</li>
 <li>Garbage and recycling</li>
 <li>Health</li>
 <li>Locations and mapping</li>
 <li>Parks and recreation</li>
 <li>Permits and licenses</li>
 <li>Public safety</li>
 <li>Transportation</li>
 <li>Water</li>
 </ul>",<p>Metadata is available with each dataset.</p>,"<p><em>File name </em>[Format]. Toronto, Ontario: City of Toronto Department, Year</p>
 <p>Example: <em>Bikeways</em> [Shapefile]. Toronto, ON: City of Toronto, Transportation Services, Transportation Infrastructure Management, Cycling Infrastructure and Programs, 2010.</p>",N/A,Internet,Boundaries||Human Environment||Physical Environment||Topography||Transportation||Portals,Ontario,Interactive Map||Vector,https://library.mcmaster.ca/sites/default/files/geospatial/demo2_0.jpg,Toronto Open Data Sample,Toronto Open Data,,NAD 1927 UTM Zone 17N,"There are two datums provided
 GCS North American 1927 is associated with the projection provided above.
 GCS WGS 1984 is a second set of data provided by the City of Toronto to show latitude/longitude",,,
19088,Hamilton Street Railway (HSR) Bus Stops and Routes,2007 - 2020,<p>City of Hamilton</p>,Shapefile (.shp),McMaster Students / Staff / Faculty only,"<p>Current HSR Bus Stops, Bus Routes, and Transit Feed data is available through the City of Hamilton's <a href=""https://open.hamilton.ca/"">Open Hamilton website</a>.</p>","<p>This dataset describes all bus routes for the Hamilton Street Rail (HSR) public transit system, as well as all the bus stops associated with each route.</p>
 <p>Attributes associated with <em>bus routes</em>: Each bus route is stored as a single polyline. For each route, the Route Number and Route Name are stored as attributes.</p>
 <p>Attributes associated with <em>bus stops</em>: Route Number, Route Name, Direction (North, South, East, or Westbound), ""Node Name"" (if applicable), Stop Name (usually in the format of ""[Street Name] at [Intersecting Street Name]""), ""On"" Street, ""At"" Street, and Interactive Voice Response (IVR) Number (i.e. the extension you would call to check bus times for that stop).</p>
 <p><h3>Request data</h3>To request this data, please fill out the <a href=""https://mcmaster-ca.libwizard.com/f/hamilton_geodata"">Data Use Agreement</a>.</p>",<p>No metadata document was provided for this dataset.</p>,"<p><em>Hamilton Street Railway Bus Routes</em> [computer file]. Hamilton, ON: The City of Hamilton [2008].</p>",N/A,Library||Internet,Human Environment||Transportation,Hamilton,Vector,,,,,UTM Zone 17N,NAD83,,,
19149,Health Regions,2003-2023,<p>Statistics Canada</p>,"Shapefile (.shp), MapInfo (.tab)",Public,"<p>Available for download through <a href=""https://www150.statcan.gc.ca/n1/en/catalogue/82-402-X"">Statistics Canada</a>.</p>","<p>From the StatsCan Health Regions Webpage: <em><br />
 ""Health regions are legislated administrative areas defined by provincial ministries of health. These administrative areas represent geographic areas of responsibility for hospital boards or regional health authorities. Health regions, being provincial administrative areas, are subject to change. </em></br>
 A correspondence file linking health regions to census geography is also available.</br>
 Earlier years are available through <a href=""https://geo.scholarsportal.info/#r/details/_uri@=3785958055"">Scholars GeoPortal</a>.</p>",<p>Complete user guide is available for download through Statistics Canada.</p>,"<p><em>Health Regions of Canada</em> [computer file]. Ottawa, ON: Statistics Canada, 2015.</p>",N/A,Internet,Boundaries||Health,Hamilton||Ontario||Canada,Vector,,,,,,,,,
19045,Air Quality Data Sets: Pollutant and Smog Data and Forecasts,"Various, from 2000","Ontario Ministry of the Environment, Conservation, and Parks","Comma separated values (.csv), Microsoft Excel (.xls), HTML, XML",Public,"<p>Air Quality of Ontario - <a href=""http://www.airqualityontario.com/science/data_sets.php"">Science Data Sets</a></p>","<p>The Ontario Ministry of the Environment, Conservation, and Parks has created the user-friendly website <a href=""http://www.airqualityontario.com/"">Air Quality Ontario</a> in order to provide Ontarians with current Air Quality Index (AQI) readings, historical ambient air pollution data, air quality forecasts, and current pollutant concentrations, as well as information on actions that can be taken when a smog alert is issued.</p>
 <p>Reports and forecasts of air quality (based on the AQI) can be browsed by city on the website, but downloadable datasets are also available. Users can download historical data in the form of hourly readings of various pollutants (Ground-level Ozone, Nitrous Oxides etc.). The datasets are provided by monitoring station location (e.g. ""Hamilton West"") in .csv format, which can be imported into Excel or GIS software. Also available from the website are ""Smog Advisory Statistics"", which give gives the dates on which ""Smog Days"" were declared and the areas in which they applied. These datasets are provided in .xls format, which can be converted to .csv format in Excel to be imported into a GIS program.</p>
 <p>Please note that there is no geospatial data directly included in these datasets. If users are interested in performing geospatial analysis, the locations of the monitoring stations or affected areas must be manually added by the user. The website does provide the Lat-Long coordinates of each monitoring station when you download the hourly pollutant data for that station.</p>","<p>More information is available on the <a href=""http://www.airqualityontario.com/science/"">About Air Quality</a> section of the website. The <a href=""http://www.airqualityontario.com/press/faq.php"">""Frequently Asked Questions""</a> section of the website includes information about how the data are collected and how the Air Quality Index is calculated.</p>","<p><em>Historical Air Quality Pollutant Data</em> [computer file]. Ontario Ministry of the Environment, Conservation, and Parks (year of dataset).</p>",N/A,Internet,Physical Environment||Pollution,Hamilton||Ontario,Vector,,,,,,,,,
19091,Hospital Service Areas (USA),Current,<p>The Dartmouth Atlas of Health Care</p>,"Shapefile (.shp), MapInfo, GeoJSON",Public,"<p><a href=""http://www.dartmouthatlas.org/tools/downloads.aspx"">Dartmouth Atlas of Health Care</a></p>","<p>Provided by the Dartmouth Atlas of Health Care, this dataset delineates Hospital Service Areas (HSAs), Primary Care Service Areas (PCSAs), and Hospital Referral Regions (HRRs) for all of the United States. Attribute data are limited to ID number and HSA/HRR name.</p>
 <p>More information about HSAs and HRRs can be found on the <a href=""http://www.dartmouthatlas.org/tools/downloads.aspx"">Dartmouth Atlas of Health Care website</a>.</p>",<p>No metadata documentation provided with these files.</p>,"<p><em>Hospital Service Areas of the United States</em>. [computer file]. Hanover, New Hampshire: The Dartmouth Atlas of Health Care, 2006.</p>",N/A,Internet,Boundaries||Health,USA,Vector,,,,,Undefined,,,,
19113,Ontario Parcel Boundaries,2009 - 2022,<p>Teranet Inc.</p>,Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>This dataset delineates the boundaries of land parcels (individual properties) for various areas in Ontario. These files do NOT have land use data associated with the boundaries. McMaster Library does have land use data available for <a href=""https://library.mcmaster.ca/maps/geospatial/hamilton-parcelland-use-data"">parcels in the City of Hamilton</a>.</p>
 <p>Parcel boundaries are available for: Algoma, Brant, Bruce County, Chatham-Kent, Cochrane, Dufferin, Durham, Elgin, Essex, Frontenac, Greater Sudbury, Grey County, Halidmald, Haliburton, Halton, Hamilton, Hastings, Huron, Kawartha Lakes, Kenora, Lambton, Lanark, Leeds Grenville United Counties, Lennox Addington, Manitoulin, Middlesex, Muskoka, Niagara, Nipissing, Northumberland, Peel, Perth, Peterborough, Prescott and Russell United Counties, Prince Edward Division, Rainy River, Renfrew County, Simcoe County, Stormont Dundas Glengarry United Counties, Sudbury, Thunder Bay, Timiskaming, Toronto, Waterloo, Wellington, and York.</p>
 <p><h3>Request data</h3>To request this data, please fill out the <a href=""https://mcmaster-ca.libwizard.com/f/teranet"">Data Use Agreement</a>.</p>",<p>No metadata available.</p>,"<p><em>Ontario Parcel Boundaries</em> [computer file]. Toronto: ON, Teranet Enterprises Inc., 2009.</p>",N/A,Library,Boundaries||Human Environment||Location||Planning,Hamilton||Ontario,Vector,,,,,Teranet Lambert Conformal Conic,NAD83,,"This data is available through the Library's GIS Services, contact libgis@mcmaster.ca.",
19123,Shuttle Radar Topography Mission (SRTM) Digital Elevation Models (DEMs),2000,<p>National Aeronautics and Space Administration (NASA)</p>,SRTM (.hgt),Public,"<p>SRTM data is available through the Library or by download through NASA's <a href=""https://search.earthdata.nasa.gov/search?q=SRTM+DEM&ok=SRTM+DEM"">Earthdata Search</a> tool.</p>","<p>The Shuttle Radar Topography Mission (SRTM) was a collaborative effort between the National Aeronautics and Space Administration (NASA), the National Geospatial-Intelligence Agency (NGA), and the German and Italian space agencies, to generate a near-global digital elevation model (DEM). The mission homepage is at the NASA website, but the data are publicly distributed by the USGS EROS Data Center.</p>
 <p>Digital elevation data consists of an ordered array of ground elevations sampled at regular intervals over each grid area. Aside from estimating point elevations, digital elevation has a variety of applications, including terrain modeling, line of sight analysis, water flow and flooding analysis, and many others.</p>
 <p>1 arc second: The most recent version of the SRTM data has a resolution of 1 arc second, which is about 30m x 30m. The coverage is considered near-global, which means approximately 80% of the Earth's landmass is captured.</p>
 <p>3 arc second: For this dataset, 3 arc second refers to the pixel size, which is roughly 90m x 90m. Each tile has a size of 1201 x 1201 pixels, covering roughly 36km x 36km (e.g. the local tile covers the core area of the Golden Horseshoe).Â The files are provided in .bil format, which can be immediately displayed in ArcMap.</p>
 <p>30 arc second: A 30 arc second grid roughly translates to a pixel size of 1km x 1km. These tiles are much larger than the 3 arc second tiles both in coverage and in pixel number. For example, the ""local"" tile is 4800 x 6000 pixels in size, covering all of Ontario and Quebec, some of Manitoba and Nunavut, and with North-South coverage from the northeastern United States up to Greenland. The files are provided in .dem format, which can be immediately displayed in ArcMap.</p>",<p>Metadata is available with accompanying datasets in the Earthdata Search tool at the link provided.</p>,"<p><em>Shuttle Radar Topography Mission DEM </em>[computer file]. Pasadena, CA: National Aeronautics and Space Administration, (2000)</p>",N/A,Internet||Library,Topography,Canada||USA||World,Raster,,,,,,WGS84,,,
19087,Hamilton Parcel/Land Use Data,"Varies, between 2009 and 2020","<p>Teranet Inc. and The City of Hamilton, Dept. of Planning and Economic Development.</p>",Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>This data was provided by The City of Hamilton, Dept. of Planning and Economic Development, GIS - Planning and Analysis.</p>
 <p>This dataset delineates all land parcels in the City of Hamilton, and provides the street address, as well as the type of land use for each parcel. Land use is generally classified as: Residential, Institutional, Office, Commercial, Warehousing/Wholesale/Storage, Industrial, Utilities/Transportation, Parks/Open Space, Agriculture, Vacant Lands/Parking, and Miscellaneous.</p>
 <p>Within each of these classes, the parcels are more specifically classified, as described below:</p>
 <ul>
 <li>Residential - subdivided into detached house, semi-detached house, row/townhouse, apartment, mobile Home etc.</li>
 <li>Institutional - subdivided into pre-school, elementary/secondary school, post secondary institution, place of worship, galleries, emergency and military services, government, hospital, Rooming House, Correctional Services etc.</li>
 <li>Commercial - subdivided into general retail, recreation and sports clubs, restaurant, auto sales and repairs, auto service station, accomodations etc.</li>
 <li>Industrial - subdivided into light, medium, and heavy industry, as well as mines/quarries/gravel pits.</li>
 <li>Utilities - subdivided into heat/hydro/energy station, waste water, landfill, and transmission.</li>
 <li>Transportation - subdivided into railway yards, public depots, port facilities and airports.</li>
 <li>Parks/Open Space - subdivided into outdoor amusement/exhibition grounds, open space, golf course, burial facilities etc.</li>
 <li>Vacant Lots - subdivided by redisential, institutional, industrial etc.</li>
 <li>Parking - subdivided by private and municipal.</li>
 </ul>
 <p><h3>Request data</h3>To request this data, please fill out the <a href=""https://mcmaster-ca.libwizard.com/f/hamilton_geodata"">Data Use Agreement</a>.</p>","<p>A PDF document describing all the specific land use codes is available through a <a href=""http://library.mcmaster.ca/maps/Land_Use_Codes_2009.pdf"">PDF file</a>.</p>","<p><em>Teranet Inc., Hamilton Parcel/Land Use Data</em> [computer file]. Hamilton, Ontario: City of Hamilton, Dept. of Planning and Economic Development, 2009.</p>",N/A,Library,Boundaries||Human Environment||Location||Planning,Hamilton,Vector,https://library.mcmaster.ca/sites/default/files/geospatial/landuse_screenshot.jpg,landuse_screenshot.jpg,Hamilton Parcel/Land Use Westdale,,NAD 1983 UTM Zone 17N,NAD83,,,
19089,Hamilton Tree Inventory,"2009, 2016, 2018","<p>City of Hamilton, Ontario</p>",Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>This data contains information about tree species in Hamilton, Ontario. The attribute table contains information such as the diameter of a tree, the conditon of the tree, and whether the tree is likely to come in contact with a hydro utility line when it reaches its mature height. A boundary shapefile of Hamilton can also be included with the tree inventory shapefile so as to get a sense of the location of the trees.</p>
 <p><h3>Request data</h3>To request this data, please fill out the <a href=""https://mcmaster-ca.libwizard.com/f/hamilton_geodata"">Data Use Agreement</a>.</p>",<p>Available with a copy of the file.</p>,"<p><em>Tree Inventory</em> [Computer File]. Hamilton, Ontario: City of Hamilton, 2009.</p>",N/A,Library,Physical Environment,Hamilton,Vector,,,,,NAD 1983 UTM Zone 17N,NAD83,,,
19101,The City of London's Open Data Catalogue,Varies by dataset,"<p>City of London, Ontario</p>","Shapefile (.shp), Comma-separated values (.csv), Microsoft Excel (.xls), Feature Layer, PDF",Public,"<p><a href=""https://opendata.london.ca/"">Open Data Catalogue</a></p>","<p>The data available in this catalogue is part of the Open Data initiative that allows the public access to municipal data.<br /></p>
 <p>Examples of the available data includes accessible facilities, arenas, baseball diamonds, basketball courts, community centres, community gardens, community pools, dog off-leash parks, football fields, golf courses, multi-use pads, multi-use pathways, outdoor ice rinks, play structures, skateboard parks, soccer fields, swing sets, tennis courts, wading pools, washrooms, London city boundary and garbage & recycling collection zone boundaries.</p>",<p>Metadata is available with each dataset.</p>,"<p><i>Dataset name</i> [Computer file]. London, Ontario: City of London, date.</p>",N/A,Internet,Boundaries||Human Environment||Physical Environment||Planning||Topography||Transportation||Utilities||Water Resources||Portals,Ontario,Interactive Map||Vector||Text||Tabular,https://library.mcmaster.ca/sites/default/files/geospatial/demoinprogress1.jpg,Demo 2,London Open Data Catalog,,NAD 1983 UTM Zone 17N,NAD83,,,
19098,Landsat 5 TM Data,1982 - 2011,<p>U.S. Geological Survey (USGS)</p>,GeoTIFF,Public,"<p><a href=""https://landsatlook.usgs.gov/"">LandsatLook Viewer</a></p>","<p>The images in this dataset cover areas approximately 185 km by 185 km and are centred primarily on 17 major Canadian cities. These are: Calgary, Charlottetown, Edmonton, Fredericton, Halifax, Iqaluit, Montreal, Ottawa, Quebec, Regina, St. John's, Saskatoon, Toronto, Victoria/Vancouver, Whitehorse, Winnipeg and Yellowknife.</p>
 <p>CCRS has packaged and prepared this dataset for distribution through GeoGratis to offer interested individuals the opportunity to develop expertise in the use of satellite imagery.</p>",<p>Full metadata available through the LandsatLook Viewer website.</p>,"<p><strong>Format:<br /></strong>Database Name [type of medium]. (Year). Producer location, province/state: Producer name. Available FTP: address/path/file [Access date]</p>
 <p><strong>Example:</strong><br />
 Landsat 5 TM Over Major Canadian Cities [computer file]. 1982-2011. Ottawa, ON: USGS. Available FTP: https://landsatlook.usgs.gov/ [January 27, 2017].</p>",NA,Internet||Library,Remote Sensing and Air Photos,Ontario||Canada,Raster,,,,,NAD 1983 UTM Zone 17N,NAD83,,,
