Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,Projection,Datum,Entry Date,File Location,File Size
,"Unified Geologic Map of the Moon, 1:5M, 2020",2020,U. S. Geological Survey,"GeoTIFF, Shapefile",Public,"<p>U. S. Geological Survey - <a href=""https://astrogeology.usgs.gov/search/map/Moon/Geology/Unified_Geologic_Map_of_the_Moon_GIS"">Astropedia Lunar and Planetary Cartographic Catalog</a></p>","<p>A <i>""seamless, globally consistent, 1:5,000,000-scale geologic map derived from the six digitally renovated geologic maps"".</i> Consists of: unit contacts, geologic unit polygons, linear features, unit and feature nomenclature annotation, and shaded relief.</p>","<p>Metadata is available with download, and on the website.</p>","<p>USGS Astrogeology Science Center. <em>Unified Geologic Map of the Moon, 1:5M, 2020</em> [digital resource: vector and raster]. Reston, VA.: U. S. Geological Survey, 2020.</p>",N/A,Internet,Geology||Topography,World,Raster||geoTIFF||Vector||Shapefile,,,,,Moon 2000,,,,215MB
,Ontario Classified Point Cloud (Lidar-derived),2015 - 2019,Ontario Ministry of Natural Resources and Forestry - Provincial Mapping Unit,Various geospatial formats available.,Public,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2400901509"">Access this resource</a> on Scholars Geoportal.</p>","<p>The Ontario Point Cloud (Lidar-Derived) consists of points containing elevation and intensity information derived from returns collected by an airborne topographic lidar sensor. It was designed to support agricultural soil map renewal for selected geographic areas in southern Ontario (Peterborough, Lake Erie, Halton, Milton, Brampton, GTA, Peel, CLOCA, LEAP, CNS) and portions of northern Ontario (Cochrane). The point cloud has been classified into Unclassified, Ground, Water, High and Low Noise categories and is structured into non-overlapping 1-km by 1-km tiles in LAZ format.</p> <p>As this dataset is a compilation of lidar data from multiple acquisition projects, specifications, parameters, accuracy and sensors may vary by project. See the detailed User Guide and contractor metadata reports below for additional information.</p>",,"<p>Ontario Ministry of Natural Resources and Forestry - Provincial Mapping Unit. <em>Ontario Classified Point Cloud (Lidar-derived)</em> [digital resource: grid]. Ontario Ministry of Natural Resources and Forestry - Provincial Mapping Unit, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=2400901509.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=2400901509"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Remote Sensing and Air Photos,Ontario,grid,http://images.scholarsportal.info/gis/thumbnails/OpenContent/OpenContent_ATLidarCPC_TileIndex_vt.png,,,2400901509,,,,,,,
,London Stream Segments,2009 - 2015,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=45485834"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of stream segments in the City of London, Ontario.</p>",,"<p>City of London. <em>London Stream Segments</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=45485834.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=45485834"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Water Resources,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_strmvslin.png,,,45485834,,,,,,,
,London Rapids,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=72480700"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of rapids in the City of London, Ontario.</p>",,"<p>City of London. <em>London Rapids</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=72480700.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=72480700"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Water Resources,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Rapids.png,,,72480700,,,,,,,
,London Building Outlines,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=77371703"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of building outlines in the City of London, Ontario.</p><p><i>Note: As of 2016, <b>London Silos</b> and <b>London Smoke Stacks</b> were separated from this dataset.</i></p>",,"<p>City of London. <em>London Building Outlines</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=77371703.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=77371703"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Human Environment,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_BuildingOutlines.png,,,77371703,,,,,,,
,London Parking Lots and Access Ways,2009 - 2015,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=81395296"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of parking lots and access ways in the City of London, Ontario.</p><p><i>Note: As of 2016, this dataset was divided into the <b>London Driveways</b> and <b>London Parking Lot Edges</b> datasets.</i></p>",,"<p>City of London. <em>London Parking Lots and Access Ways</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=81395296.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=81395296"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_drvpklin.png,,,81395296,,,,,,,
,London Culverts or Headwalls,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=32009377"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of culverts or headwalls in the City of London, Ontario. A culvert is a tunnel carrying a stream or open drain under a road or railroad.</p>",,"<p>City of London. <em>London Culverts or Headwalls</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=32009377.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=32009377"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Utilities,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_CulvertHeadwalls.png,,,32009377,,,,,,,
,London Water Tanks,2009 - 2015,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=69708268"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of water tanks in the City of London, Ontario.</p><p><i>Note: As of 2016, this dataset was incorporated into the <b>London Tanks</b> dataset.</i></p>",,"<p>City of London. <em>London Water Tanks</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=69708268.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=69708268"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Utilities,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_wtrtanklin.png,,,69708268,,,,,,,
,London Parking Lot Segments,2009 - 2015,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=9078640"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of parking lot segments in the City of London, Ontario.</p><p><i>Note: As of 2016, this dataset was incorporated into the <b>London Parking Lot Edges</b> dataset.</i></p>",,"<p>City of London. <em>London Parking Lot Segments</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=9078640.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=9078640"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2015_pkngvslin.png,,,9078640,,,,,,,
,London Smoke Stacks,2016 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=421231"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of smoke stacks in the City of London, Ontario.</p><p><i>Note: Formerly part of the <b>London Structures (Lines) / London Building Outlines</b> dataset.</i></p>",,"<p>City of London. <em>London Smoke Stacks</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=421231.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=421231"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Human Environment,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_SmokeStacks.png,,,421231,,,,,,,
,London Spot Height Text,2009 - 2016,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=76332459"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of spot height text for the City of London, Ontario.</p>",,"<p>City of London. <em>London Spot Height Text</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=76332459.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=76332459"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Topography,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2016_sphttxt.png,,,76332459,,,,,,,
,London Parking Lot Points,2016 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=47501069"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of parking lot centroids in the City of London, Ontario.</p><p><i>Note: Previous editions of much of the information contained in this dataset can be found in the <b> London Paved Parking Lot Centroids, London Unpaved Parking Lot Centroids</b> and <b>London Unknown Parking Lot Centroids </b> datasets.</i></p>",,"<p>City of London. <em>London Parking Lot Points</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=47501069.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=47501069"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_ParkingLotPoints.png,,,47501069,,,,,,,
,London Marshes,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=30029376"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of marshes in the City of London, Ontario.</p>",,"<p>City of London. <em>London Marshes</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=30029376.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=30029376"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Physical Environment,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Marshes.png,,,30029376,,,,,,,
,London Flow Arrows,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=9466827"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of flow points in the City of London, Ontario.</p>",,"<p>City of London. <em>London Flow Arrows</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=9466827.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=9466827"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Water Resources,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_FlowArrows.png,,,9466827,,,,,,,
,London Topographic Map Index,2016 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=26186563"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains a topographic mapping index of the City of London, Ontario.</p>",,"<p>City of London. <em>London Topographic Map Index</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=26186563.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=26186563"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Boundaries,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_TopoMapIndex.png,,,26186563,,,,,,,
,London Overhead Walkways,2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=6640925"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of overhead walkways in the City of London, Ontario.</p>",,"<p>City of London. <em>London Overhead Walkways</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=6640925.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=6640925"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Planning,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_OverheadWalkways.png,,,6640925,,,,,,,
,London Topographic Map - PDF,2018 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=4012710062"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London Topographic Map contains very detailed topographic information in PDF format.</p><p> This data set is clipped to the municipal boundary of the city of London, Ontario.</p>",,"<p>City of London. <em>London Topographic Map - PDF</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=4012710062.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=4012710062"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Topography,Ontario,vector,,,,4012710062,,,,,,,
,London Water (Polygons),2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=29179595"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of water in the City of London, Ontario.</p><p><b>Note:</b>This dataset was not published in 2016 and 2017. Publication resumed in 2018, with additional fields in the attribute table.</p>",,"<p>City of London. <em>London Water (Polygons)</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=29179595.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=29179595"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Water Resources,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_Water.png,,,29179595,,,,,,,
,London Roads (Lines),2009 - 2019,City of London,Various geospatial formats available.,McMaster Students / Staff / Faculty only. Login required for off-campus access.,"<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=34761366"">Access this resource</a> on Scholars Geoportal.</p>","<p>The City of London digital mapping vector data contains very detailed topographic and planning information clipped to the City of London municipal boundary based on a scale of 1:2,000.</p><p>This data set contains the geographic location of roads in the City of London, Ontario.</p>",,"<p>City of London. <em>London Roads (Lines)</em> [digital resource: vector]. City of London, (insert date). Retrieved from http://geo.scholarsportal.info/#r/details/_uri@=34761366.</p>","<p><a href=""http://geo.scholarsportal.info/#r/details/_uri@=34761366"">Access this resource</a> on Scholars Geoportal.</p>",Internet,Transportation,Ontario,vector,http://images.scholarsportal.info/gis/thumbnails/Western/Western_CityOfLondon_2019_RoadEdges.png,,,34761366,,,,,,,
