result - array,result - services - array,result - services - link,result - services - protocol,result - services - type,result - services - boundingbox - area,result - services - boundingbox - upperleft - Point - coordinates,result - services - boundingbox - lowerleft - Point - coordinates,result - services - boundingbox - upperright - Point - coordinates,result - services - boundingbox - lowerright - Point - coordinates,result - publish-date - date,result - publish-date - date-type,result - id,result - uri,result - date,result - index,result - title,result - producer,result - abstract,result - entitled,result - boundingbox - area,result - boundingbox - upperleft - Point - coordinates,result - boundingbox - lowerleft - Point - coordinates,result - boundingbox - upperright - Point - coordinates,result - boundingbox - lowerright - Point - coordinates,result - collections,result - notqueryable,result - fileIdentifier,result - notdownloadable,result - thumbnail,result - holdings,result - revision-date
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2008_CanMapW_MNWTP_ALL_PROV.zip,file,(vector){2008},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2007_CanMapW_MNWTP_ALL_PROV.zip,file,(vector){2007},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2006_CanMapW_MNWTP_ALL_PROV.zip,file,(vector){2006},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_CanMapW_MNWTP_ALL_PROV.zip,file,(vector){2005},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_CanMapW_MNWTP_ALL_PROV.zip,file,(vector){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2014_CanMapW_MJWTR_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2014}<uri:/NAP/DMTI_2014_CanMapW_MJWTR_ALL_PROV.xml>,3875.876832,"-141.001312,84.000004","-141.001312,40.451472","-51.999992,84.000004","-51.999992,40.451472",2/19/2003,publication,311685684,/NAP/DMTI_CanMapW_MJWTR_ALL_PROV_series.xml,7/2/2015,4,Major Water Regions (MJWTR),DMTI Spatial Inc.,"<p>Major Water Regions represent waterbodies with a heritage significance, or surface area greater than 100sqkm.</p><p> Major Water is engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p>",TRUE,3875.876832,"-141.001312,84.000004","-141.001312,40.451472","-51.999992,84.000004","-51.999992,40.451472",DMTI,0,311685684,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MJWTR_ALL_PROV.png,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2013_CanMapW_MJWTR_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2013}<uri:/NAP/DMTI_2013_CanMapW_MJWTR_ALL_PROV.xml>,3875.876832,"-141.001312,84.000004","-141.001312,40.451472","-51.999992,84.000004","-51.999992,40.451472",8/15/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2012_CanMapW_MJWTR_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2012}<uri:/NAP/DMTI_2012_CanMapW_MJWTR_ALL_PROV.xml>,3875.876832,"-141.001312,84.000004","-141.001312,40.451472","-51.999992,84.000004","-51.999992,40.451472",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2011_CanMapW_MJWTR_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2011}<uri:/NAP/DMTI_2011_CanMapW_MJWTR_ALL_PROV.xml>,3875.876832,"-141.001312,84.000004","-141.001312,40.451472","-51.999992,84.000004","-51.999992,40.451472",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2010_CanMapW_MJWTR_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2010}<uri:/NAP/DMTI_2010_CanMapW_MJWTR_ALL_PROV.xml>,3875.876832,"-141.001312,84.000004","-141.001312,40.451472","-51.999992,84.000004","-51.999992,40.451472",,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2009_CanMapW_MJWTR_ALL_PROV.zip,file,(vector) {2009},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2008_CanMapW_MJWTR_ALL_PROV.zip,file,(vector){2008},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2007_CanMapW_MJWTR_ALL_PROV.zip,file,(vector){2007},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2006_CanMapW_MJWTR_ALL_PROV.zip,file,(vector){2006},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_CanMapW_MJWTR_ALL_PROV.zip,file,(vector){2005},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_CanMapW_MJWTR_ALL_PROV.zip,file,(vector){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/OpenContent/OpenContent_Geogratis_1900_1997_FloodDisastersInCanada/MapServer,http,Tiled map service (vector),,,,,,7/8/2002,publication,3713718952,/NAP/OpenContent_Geogratis_1900_1997_FloodDisastersInCanada.xml,10/5/2011,5,Flood Disasters in Canada,Natural Resources Canada,"<p>This database contains summary information on 168 Canadian flood disasters that occurred between 1900 and June 1997. The database is not, by any means, a complete list of flood events in Canada since the vast majority of the floods did not cause disasters. All mentions of damage costs have not been corrected for inflation. The database also is biased towards the more densely populated areas of Canada where floods are more likely to impact humans.</p>",TRUE,2018.797413,"-139.499998,65.279998","-139.499998,42.029999","-52.669998,65.279998","-52.669998,42.029999",OpenContent,0,3713718952,0,http://images.scholarsportal.info/gis/thumbnails/OpenContent/OpenContent_Geogratis_1900_1997_FloodDisastersInCanada.png,/zips/OpenContent/OpenContent_Geogratis_1900_1997_FloodDisastersInCanada.zip,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2014_CanMapW_MNWTR_ALL_PROV/MapServer,http,Tiled map service (vector) {2014}<uri:/NAP/DMTI_2014_CanMapW_MNWTR_ALL_PROV.xml>,3655.877092,"-141.002060,83.088320","-141.002060,41.717347","-52.633892,83.088320","-52.633892,41.717347",2/19/2003,publication,2840086328,/NAP/DMTI_CanMapW_MNWTR_ALL_PROV_series.xml,7/2/2015,6,Minor Water Regions (MNWTR),DMTI Spatial Inc.,"<p>Minor Water Regions represent smaller waterbodies less than 100sqkm. Minor Water is engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p>",TRUE,3655.877092,"-141.002060,83.088320","-141.002060,41.717347","-52.633892,83.088320","-52.633892,41.717347",DMTI,1,2840086328,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MNWTR_ALL_PROV.png,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2013_CanMapW_MNWTR_ALL_PROV/MapServer,http,Tiled map service (vector) {2013}<uri:/NAP/DMTI_2013_CanMapW_MNWTR_ALL_PROV.xml>,3655.877092,"-141.002060,83.088320","-141.002060,41.717347","-52.633892,83.088320","-52.633892,41.717347",8/15/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2012_CanMapW_MNWTR_ALL_PROV/MapServer,http,Tiled map service (vector) {2012}<uri:/NAP/DMTI_2012_CanMapW_MNWTR_ALL_PROV.xml>,3655.877092,"-141.002060,83.088320","-141.002060,41.717347","-52.633892,83.088320","-52.633892,41.717347",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2011_CanMapW_MNWTR_ALL_PROV/MapServer,http,Tiled map service (vector) {2011}<uri:/NAP/DMTI_2011_CanMapW_MNWTR_ALL_PROV.xml>,3655.877092,"-141.002060,83.088320","-141.002060,41.717347","-52.633892,83.088320","-52.633892,41.717347",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2010_CanMapW_MNWTR_ALL_PROV/MapServer,http,Tiled map service (vector) {2010}<uri:/NAP/DMTI_2010_CanMapW_MNWTR_ALL_PROV.xml>,3655.877092,"-141.002060,83.088320","-141.002060,41.717347","-52.633892,83.088320","-52.633892,41.717347",,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2009_CanMapW_MNWTR_ALL_PROV.zip,file,(vector) {2009},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2008_CanMapW_MNWTR_ALL_PROV.zip,file,(vector){2008},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2007_CanMapW_MNWTR_ALL_PROV.zip,file,(vector){2007},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2006_CanMapW_MNWTR_ALL_PROV.zip,file,(vector){2006},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_CanMapW_MNWTR_ALL_PROV.zip,file,(vector){2005},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_CanMapW_MNWTR_ALL_PROV.zip,file,(vector){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2013_EPOI_Canada.zip,file,(table){2013}<uri:/NAP/DMTI_2013_EPOI_ALL_PROV.xml>,3620.819444,"-140.875303,82.762115","-140.875303,41.733377","-52.624491,82.762115","-52.624491,41.733377",6/21/2001,publication,1434556057,/NAP/DMTI_EPOI_ALL_PROV_series.xml,7/9/2015,7,Enhanced Points of Interest (EPOI),DMTI Spatial Inc.,"<p>The Enhanced Points of Interest (EPOI) file is a national database of over 1 million Canadian business and recreational points of interest. Engineered using CanMap Streetfiles, each EPOI has been accurately geocoded and precisely placed; two criteria that are fundamental to any successful location sensitive service.</p><p>EPOI are points of interest across Canada containing Standard Industry Codes (SICs) placing them in categories including, but not limited to: Healthcare Facilities, Shopping Centres, Postal Outlets, Golf Courses and Education. </p>",TRUE,3620.819444,"-140.875303,82.762115","-140.875303,41.733377","-52.624491,82.762115","-52.624491,41.733377",DMTI,0,1434556057,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2013_EPOI_ALL_PROV.png,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2012_EPOI_Canada.zip,file,(table){2012}<uri:/NAP/DMTI_2012_EPOI_Canada.xml>,3620.819444,"-140.875303,82.762115","-140.875303,41.733377","-52.624491,82.762115","-52.624491,41.733377",9/1/2015,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2011_EPOI_Canada.zip,file,(table){2011}<uri:/NAP/DMTI_2011_EPOI_Canada.xml>,3620.819444,"-140.875303,82.762115","-140.875303,41.733377","-52.624491,82.762115","-52.624491,41.733377",,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2010_EPOI_ALL_PROV.zip,file,(table){2010},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2009_EPOI_ALL_PROV.zip,file,(table){2009},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2008_EPOI_CAN.zip,file,(table){2008},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2007_EPOI_CAN.zip,file,(table){2007},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2006_EPOI_ALL_PROV.zip,file,(table){2006},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_EPOI_ALL_PROV.zip,file,(table){2005},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2004_EPOI_CAN.zip,file,(table){2004},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_EPOI_CAN.zip,file,(table){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2002_EPOI_CAN.zip,file,(table){2002},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2001_GRP_ALL_PROV.zip,file,(table){2001 - General Reference Points GRP},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2014_CanMapW_MJNMP_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2014}<uri:/NAP/DMTI_2014_CanMapW_MJNMP_ALL_PROV.xml>,3693.214727,"-140.997488,83.469556","-140.997488,41.700043","-52.578580,83.469556","-52.578580,41.700043",2/19/2003,publication,3583385312,/NAP/DMTI_CanMapW_MJNMP_ALL_PROV_series.xml,7/2/2015,8,Major Name Points (MJNMP),DMTI Spatial Inc.,"<p>Major Name Points represent the name of a large waterbody such as lakes, or oceans. These features are always inside a major water region. </p><p>Major Name Points are engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p>",TRUE,3693.214727,"-140.997488,83.469556","-140.997488,41.700043","-52.578580,83.469556","-52.578580,41.700043",DMTI,0,3583385312,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MJNMP_ALL_PROV.png,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2013_CanMapW_MJNMP_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2013}<uri:/NAP/DMTI_2013_CanMapW_MJNMP_ALL_PROV.xml>,3693.214727,"-140.997488,83.469556","-140.997488,41.700043","-52.578580,83.469556","-52.578580,41.700043",8/15/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2012_CanMapW_MJNMP_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2012}<uri:/NAP/DMTI_2012_CanMapW_MJNMP_ALL_PROV.xml>,3693.214727,"-140.997488,83.469556","-140.997488,41.700043","-52.578580,83.469556","-52.578580,41.700043",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2011_CanMapW_MJNMP_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2011}<uri:/NAP/DMTI_2011_CanMapW_MJNMP_ALL_PROV.xml>,3693.214727,"-140.997488,83.469556","-140.997488,41.700043","-52.578580,83.469556","-52.578580,41.700043",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2010_CanMapW_MJNMP_ALL_PROV/MapServer,http,Tiled Map Service (vector) {2010}<uri:/NAP/DMTI_2010_CanMapW_MJNMP_ALL_PROV.xml>,3693.214727,"-140.997488,83.469556","-140.997488,41.700043","-52.578580,83.469556","-52.578580,41.700043",,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2009_CanMapW_MJNMP_ALL_PROV.zip,file,(vector) {2009},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2008_CanMapW_MJNMP_ALL_PROV.zip,file,(vector){2008},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2007_CanMapW_MJNMP_ALL_PROV.zip,file,(vector){2007},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2006_CanMapW_MJNMP_ALL_PROV.zip,file,(vector){2006},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_CanMapW_MJNMP_ALL_PROV.zip,file,(vector){2005},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_CanMapW_MJNMP_ALL_PROV.zip,file,(vector){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2014_CanMapW_MNNMP_ALL_PROV/MapServer,http,Tiled map service (vector) {2014}<uri:/NAP/DMTI_2014_CanMapW_MNNMP_ALL_PROV.xml>,3693.387695,"-141.001629,83.469556","-141.001629,41.700043","-52.578580,83.469556","-52.578580,41.700043",5/2/2003,publication,1816818660,/NAP/DMTI_CanMapW_MNNMP_ALL_PROV_series.xml,7/2/2015,9,Minor Name Points (MNNMP),DMTI Spatial Inc.,"<p>Minor Name Points represent the name of smaller waterbodies such as small lakes, rivers or creeks. These features are associated with water lines or minor water regions. Minor Name Points are engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p>",TRUE,3693.387695,"-141.001629,83.469556","-141.001629,41.700043","-52.578580,83.469556","-52.578580,41.700043",DMTI,0,1816818660,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MNNMP_ALL_PROV.png,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2013_CanMapW_MNNMP_ALL_PROV/MapServer,http,Tiled map service (vector) {2013}<uri:/NAP/DMTI_2013_CanMapW_MNNMP_ALL_PROV.xml>,3693.387695,"-141.001629,83.469556","-141.001629,41.700043","-52.578580,83.469556","-52.578580,41.700043",8/15/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2012_CanMapW_MNNMP_ALL_PROV/MapServer,http,Tiled map service (vector) {2012}<uri:/NAP/DMTI_2012_CanMapW_MNNMP_ALL_PROV.xml>,3693.387695,"-141.001629,83.469556","-141.001629,41.700043","-52.578580,83.469556","-52.578580,41.700043",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2011_CanMapW_MNNMP_ALL_PROV/MapServer,http,Tiled map service (vector) {2011}<uri:/NAP/DMTI_2011_CanMapW_MNNMP_ALL_PROV.xml>,3693.387695,"-141.001629,83.469556","-141.001629,41.700043","-52.578580,83.469556","-52.578580,41.700043",,,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2010_CanMapW_MNNMP_ALL_PROV/MapServer,http,Tiled map service (vector) {2010}<uri:/NAP/DMTI_2010_CanMapW_MNNMP_ALL_PROV.xml>,3693.387695,"-141.001629,83.469556","-141.001629,41.700043","-52.578580,83.469556","-52.578580,41.700043",,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2009_CanMapW_MNNMP_ALL_PROV.zip,file,(vector) {2009},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2008_CanMapW_MNNMP_ALL_PROV.zip,file,(vector){2008},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2007_CanMapW_MNNMP_ALL_PROV.zip,file,(vector){2007},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2006_CanMapW_MNNMP_ALL_PROV.zip,file,(vector){2006},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2005_CanMapW_MNNMP_ALL_PROV.zip,file,(vector){2005},,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,http:__maps.scholarsportal.info/files/zips/DMTI/DMTI_2003_CanMapW_MNNMP_ALL_PROV.zip,file,(vector){2003},,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2014_CanMapW_MNWTL_ALL_PROV/MapServer,http,Tiled map service (vector) {2014}<uri:/NAP/DMTI_2014_CanMapW_MNWTL_ALL_PROV.xml>,3655.450778,"-141.001777,83.109792","-141.001777,41.744088","-52.632659,83.109792","-52.632659,41.744088",2/19/2003,publication,1012913550,/NAP/DMTI_CanMapW_MNWTL_ALL_PROV_series.xml,7/2/2015,10,Minor Water Lines (MNWTL),DMTI Spatial Inc.,"<p>Minor Water lines represent hydrographic line features such as canals, rivers, streams. Minor Water lines are engineered from a combination of National Topographic Data Base (NTDB) 1:50,000 and 1:250,000 scale hydrographic mapping data.</p>",TRUE,3655.450778,"-141.001777,83.109792","-141.001777,41.744088","-52.632659,83.109792","-52.632659,41.744088",DMTI,1,1012913550,0,http://images.scholarsportal.info/gis/thumbnails/DMTI/DMTI_2014_CanMapW_MNWTL_ALL_PROV.png,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2013_CanMapW_MNWTL_ALL_PROV/MapServer,http,Tiled map service (vector) {2013}<uri:/NAP/DMTI_2013_CanMapW_MNWTL_ALL_PROV.xml>,3655.450778,"-141.001777,83.109792","-141.001777,41.744088","-52.632659,83.109792","-52.632659,41.744088",8/15/2014,publication,,,,,,,,,,,,,,,,,,,,
,TRUE,/ArcGIS/rest/services/DMTI/DMTI_2012_CanMapW_MNWTL_ALL_PROV/MapServer,http,Tiled map service (vector) {2012}<uri:/NAP/DMTI_2012_CanMapW_MNWTL_ALL_PROV.xml>,3655.450778,"-141.001777,83.109792","-141.001777,41.744088","-52.632659,83.109792","-52.632659,41.744088",,,,,,,,,,,,,,,,,,,,,,
