Nid,Title,Year,Author,Format,Who Can Use This Data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,To Delete,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,Filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id
8218,"GEOWeb, The District of North Vancouver's Open Data Portal",Various,"<p>Corporation of the District of North Vancouver</p>
","Shapefile (.shp), File Geodatabase (FGDB), Google Earth (.kml), AutoCAD (.dwg), Comma-separated values (.csv)",Public,"<p><a href=""http://geoweb.dnv.org/"">http://geoweb.dnv.org/</a></p>
","<p>GEOweb is an interactive web-based portal by the District of North Vancouver that allows for public access to data and maps. There are also applications such as history (an application that shows the history of the District of North Vancouver), properties (an application that can determine the information of properties within the District of North Vancouver), hazards (an application that determines areas that are susceptible to natural hazards within the District of North Vancouver), and solar (an application that determines the suitability of properties for solar hot water and photovoltaics) that can be accessed on the applications tab of the GEOweb website (ESRI Canada Reprint: ArcNorth News Spring, 2010).</p>
<p>Data that can be downloaded from this website includes parks, lakes, schools, zoning, roads, streets just to name a few. There are also some historic datasets, such as streets between 1890 and 1990, land use pre-1890 to 1990, historical events, Census data, and boundaries for 1900 and 1910.</p> 

<p>For a complete list of the over 170 datasets, see the website - <a href=""http://geoweb.dnv.org/data/"">http://geoweb.dnv.org/data/</a>.</p>","<p>Metadata is available for each dataset on the GEOWeb website</p>
","<p>Author. <i>Title</i> [format].  Edition.  Place of publication: Publisher, Date.</p>
<p>Example: Corporation of the District of North Vancouver. <em>Biking Routes</em> [computer file/ shape file]. District of North Vancouver: GIS Department District of North Vancouver, 2010</p>
",N/A,,Internet,Boundaries||Geology||Human Environment||Physical Environment||Topography||Transportation||Water Resources||Portals,Canada,Vector||KML||Shapefile,sites/default/files/geospatial/cityfnorthvan2.jpg,District of North Vancouver,District of North Vancouver,
5763,Electoral Districts and Polling Divisions (Ontario),Current,"<p>Elections Ontario</p>
",Shapefile (.shp),Public,"<p><a href=""https://www.elections.on.ca/content/ngw/en/voting-in-ontario/electoral-districts.html"">Electoral District Maps and Information</a></p>
","<p>This dataset contains electoral districts and polling divisions for the Province of Ontario. Official election and by-election results, including voter turnout, are provided in Excel (.xls) format through the <a href=""https://www.elections.on.ca/content/ngw/en/resource-centre/elections-results.html"">Election Results</a> page of the same website.</p>
<p>Please note that as of 2005, Ontario's provincial electoral districts are not necessarily identical to the federal electoral districts.  As of the October 10, 2007 provincial general election, Ontario is divided into 107 electoral districts, consisting of 11 ""northern"" districts and 96 ""southern"" districts.  Also available from this website are detailed maps of each individual electoral district.</p>
<p>Additional keywords associated with this dataset: poll boundaries, election</p>
",<p>No metadata is available.</p>,"<p><em>Electoral Districts and Polling Divisions</em> [computer file]. Toronto, Ontario: Elections Ontario, 2007.</p>
",N/A,,Internet,Boundaries,Hamilton||Ontario,Vector||Shapefile,sites/default/files/geospatial/elections.jpg,elections.jpeg,Map of electoral districts Hamilton,
5819,Enhanced Water and Sewer Data for The City of Hamilton,2008,"<p>City of Hamilton, Department of Planning and Economic Development, GIS-Planning and Analysis</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>Shapefiles for the watermains, valves, hydrants, sewers, manholes for the City of Hamilton are included in this dataset.  Installation date, sewer type, manhole depth, slope of sewer, diameter of watermain, diameter of sewer, length of sewer, length of watermain are all attributes included in these files.</p>
<p>Additional keywords associated with this dataset: infrastructure, public utilities</p>
","<p>No metadata available</p>
","<p><em>Enhanced Water and Sewer Data</em> [computer file]. Hamilton, Ontario: The City of Hamilton, Department of Planning and Economic Development, GIS-Planning and Analysis [2008].</p>
",N/A,,Library,Human Environment||Water Resources,Hamilton,Vector||Shapefile,sites/default/files/geospatial/HamiltonWaterSewer.jpg,HamiltonWaterSewer.jpg,Hamilton water and sewer,
8359,Living Atlas of the World,Various,"<p>Various, listed with each map</p>
","Online interactive mapping service, downloadable content",Public,"<p><a href=""https://www.esri.com/software/arcgis/arcgisonline/features/maps"">ArcGIS Online Ready-to-Use Maps</a></p>
","<p>ArcGIS Online map services are available at no cost regardless of use and can be used with ArcGIS Online or ArcMap for Desktop.</p>
<p>The following categories include types of maps for a wide variety of regions around the world:</p>
<ul>
<li>Imagery</li>
<li>Basemaps</li>
<li>Demographics and Lifestyle</li>
<li>Boundaries and Places</li>
<li>Landscape</li>
<li>Oceans</li>
<li>Earth Observations</li>
<li>Community Maps</li>
<li>Transportation</li>
<li>Urban Systems</li>
<li>Historical Maps</li>
</ul>
","<p>Additional information available with each map.</p>
","[Author]. [Date]. [Title]. Retrieved [date], from [URL]",N/A,,Internet,Boundaries||Climate||Geology||Human Environment||Physical Environment||Remote Sensing and Air Photos||Soils||Topography||Transportation||Water Resources||Portals||Pollution,Canada||USA||World,Interactive Map||Vector||Shapefile,sites/default/files/geospatial/esrionlinemaps.PNG,ESRI ArcGIS Online Map Services Sample,ESRI ArcGIS Online Map Services Sample,
6553,The European Forest Fire Information System (EFFIS),Current,"<p>European Commission Joint Research Centre</p>
",Web map service (.wms),Public,"<p><a href=""http://effis.jrc.ec.europa.eu"">http://effis.jrc.ec.europa.eu/</a></p>
","<p class=""text"">The European Forest Fire Information System (EFFIS) provides access to some data involving forest fires in Europe. The data available includes fires, hotspots, and fire news. The hot spot data is updated every 24 hours, 7 days, and 90 days. The burned areas data is updated every 24 hours, every 7 Days and 30 days.
<p class=""text"">The information given only applies to current data. There appears to be no archive of past dates.</p>
",<p>Available via links on the EFFIS website</p>,"<p>Citation should be written in the following format: Author. <i>Title</i> [computer file].  Place of publication: Publisher, Date.</p>
",N/A,,Internet,Human Environment||Physical Environment||Soils,World,Interactive Map||Vector||Shapefile||KML,sites/default/files/geospatial/croppeddemo1.jpg,This sample contains data about forest fire in Europe from 20/09/2010.,European Forest Fires,
8202,European Soil Database and Soil Properties,Various,"<p>European Commission, Joint Research Centre, European Soil Data Centre (ESDAC)</p>
","Shapefiles (.shp), raster grid, Google Earth (.kmz)",Public,"<p>The European Soil Database is available through the <a href=""https://esdac.jrc.ec.europa.eu/resource-type/european-soil-database-soil-properties"">European Soil Data Centre (ESDAC)</a>.</p>
","<p>The European Soil Portal contains currently many soil data and information; most of the offered data are at European scale, while, when  possible, links to national or global datasets are provided.</p>
<p>Links and detailed descriptions are available on the website for the following data categories:</p>
<h4>European Soil Database</h4>
<ul><li>The European Soil Database (ESDB) is  the main source of information from which most other data information and        services are derived.</li>
</ul><h4> Soil Threats Data</h4>
<ul><li>The Soil Threats database is related to soil threats as they have been identified to Soil Thematic Strategy.</li>
</ul><h4>Soil Profile Data</h4>
<ul><li>At the European level, the SPADE/M dataset       (Soil Profiles) provides an intergated Data structure and offers the SPADE-1 ""measured"" data (560        profiles) as a collection in a Microsoft Acess database.</li>
</ul><h4>Soil Projects Data</h4>
<ul><li>Ouptuts of various projects that can be distributed for free</li>
</ul><p>In order to obtain access to download the datasets, registration is required.</p>
","<p>Documentation for each dataset is available on its respective webpage within the portal.</p>
","European Soil Data Centre (ESDAC), esdac.jrc.ec.europa.eu, European Commission, Joint Research Centre",N/A,,Internet,Soils||Portals,World,ASCII||Vector||KML||Shapefile,sites/default/files/geospatial/jrc_soil.jpg,JRC soil map sample,JRC soil map sample,
5765,GeoCover Landsat 4/5,1990,"<p>LandInfo Worldwide Mapping LLC</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>The tiles cover a large extent.  For example, the local tile covers an area of over 580km x 640km.  Date of image capture varies with each scene, nominally 1990 plus or minus 3 years. The Landsat program is an ongoing project of the NASA Corporation to obtain satellite imagery of the Earth's surface, with the first Landsat satellite launched in 1972.</p>
<p>The Landsat imagery is not ""true colour"" imagery,  but is instead presented Shortwave Infrared or SWIR, which displays as follows:</p>
<p>Band 7 (mid-infrared light) is displayed as red<br />
Band 4 (near-infrared light) is displayed as green<br />
Band 2 (visible green light) is displayed in blue</p>
<p>A more recent dataset Geocover Landsat 7 is also publically available from the same website.</p>
","<p>An overview of the entire dataset is available at the following link: <a href=""http://library.mcmaster.ca/maps/GeoCover_circa_1990_Product_Description.pdf"">http://library.mcmaster.ca/maps/GeoCover_circa_1990_Product_Description.pdf</a> .  This overview contains useful information about coverage, image enhancement, andfile naming convention</p>
<p>Each MrSID tile has a .met metadata document included with the download, which contains specific information about that tile.  The .met file format can be viewed in Notepad.</p>
","<p>LandInfo Worldwide Mapping LLC. <i>GeoCover Orthorectified Landsat 4/5 Thematic Mapper Mosaics</i>.  Highland's Ranch, CO: NASA Applied Science & Technology Project Office, 1990.</p>
",N/A,,Library,Remote Sensing and Air Photos,Canada||Hamilton||Ontario||USA||World,Raster||MrSID,sites/default/files/geospatial/landsat5.JPG,landsat5.JPG,landsat5.JPG,
5766,GeoCover Landsat 7,2000,"<p>LandInfo Worldwide Mapping LLC</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>Date of image capture varies with each scene, nominally 2000 plus or minus 3 years. The Landsat program is an ongoing project of the NASA Corporation to obtain satellite imagery of the Earth's surface, with the first Landsat satellite launched in 1972.</p>
<p>The Landsat imagery is not ""true colour"" imagery,  but is instead presented Shortwave Infrared or SWIR, which displays as follows:</p>
<p>Band 7 (mid-infrared light) is displayed as red<br />
Band 4 (near-infrared light) is displayed as green<br />
Band 2 (visible green light) is displayed in blue</p>
<p>A dataset Geocover Landsat 4/5 is also publically available from the same website.</p>
","<p>An overview of the entire dataset is available at the following link: <a href=""http://library.mcmaster.ca/maps/GeoCover_circa_2000_Product_Description.pdf"">http://library.mcmaster.ca/maps/GeoCover_circa_2000_Product_Description.pdf</a></p>
<p>Each MrSID tile has a .met metadata document included with the download, which contains specific information about that tile.  The .met file format can be viewed in Notepad.</p>
","<p>LandInfo Worldwide Mapping LLC. <i>GeoCover Orthorectified Landsat 7 Thematic Mapper Mosaics</i>.  Highland's Ranch, CO: NASA Applied Science & Technology Project Office, 2000.</p>
",N/A,,Library,Remote Sensing and Air Photos,Canada||Hamilton||Ontario,Raster||MrSID,sites/default/files/geospatial/landsat7.JPG,landsat7.JPG,landsat7.JPG,
5792,Geological Map of Canada,1996,"<p>Geological Survey of Canada</p>
","Esri Interchange file (.e00), Shapefile (.shp), JPEG2000 (.jp2), PDF",Public,"<p>Available for download through the <a href=""https://doi.org/10.4095/208175"">Geological Survey of Canada</a></p>
","<p>This dataset contains a complete bilingual GIS spatial database from which a variety of thematic geological maps can be created.  For example, this product includes information on eras (Cenozoic, Mesozoic, Precambrian),  period (Quaternary, Tertiary, Jurassic),  rock types (sedimentary rocks, volcanic rocks, metamorphic rocks), rock types subdivided (felsic volcanic rocks, carbonate, mafic gneiss, etc.). Some basic bathymetric data for the surrounding oceans are also available in this dataset.</p>
<p>The dataset is only available as one large .zip file through the Geological Survey of Canada's GEOSCAN website.</p>
","<p>Metadata document included with the file</p>
","<p>Wheeler, J.O., Hoffman, P.F., Card, K.D., Davidson, A., Sanford, B.V., Okulitch, A.V., and Roest, W.R. (comp.) 1997: <em>Geological Map of Canada</em>. Geological Survey of Canada, Map D1860A.</p>
",N/A,,Internet,Geology,Canada,Vector||E00||Shapefile||JPG,sites/default/files/geospatial/Map1860A_GeologicalProvinces.JPG,GeologicalProvinces.JPG,GeologicalProvinces.JPG,
5748,GeoPinpoint Suite,annual from 2001,"<p>DMTI Spatial Inc.</p>
",,McMaster Students / Staff / Faculty only,,"<p>The GeoPinpoint Suite software attaches geographic coordinates to records in a client database by means of matching certain database fields against a DMTI proprietary geo-referenced database. The geo-referenced database is comprised of digital street geometry, street address ranges, postal coordinates, point of interest and other reference databases to ensure that data is geocoded as accurately as possible.</p>
","<p>Manual Provided in PDF format.  A paper copy is also available for viewing in the Map Collection.</p>
","<p>Author. <i>Title</i> [format].  Edition.  Place of publication: Publisher, Date.</p>
<p>DMTI Spatial Inc. <em>GeoPinpoint Suite</em> [computer software]. v2008. Markham, Ontario: DMTI Spatial Inc., 2008.</p>
",N/A,,Library,Human Environment||Software,Canada||Hamilton||Ontario,,,,,
6259,Global Historical Climatology Network (GHCN) Global Daily Climate Data,1763 - 2017,"<p>NOAA National Centers for Environmental Information</p>
",,Public,"<p>National Centers for Environmental Information - <a href=""https://www.ncdc.noaa.gov/ghcn-daily-description"">Global Historical Climate Network - Daily</a></p>","<p>Daily climate data for stations worldwide, covering the time period 1763 - 2017.</p>
<p>Includes information about precipition (in millimetres), snowfall (in millimetres), snow depth (in millimetres), maximum temperature (in degrees C), minimum temperature (in degrees C) and temperature at time of observation (in degrees C).</p>
<p>Data available varies for different countries, stations and years. Number of stations per country is also variable, with more data available for the United States than for other countries.</p>
<p>Data source = United States National Climatic Data Center, Global Historical Climatology Network. This product was purchased as a 12 CD-ROM set from EarthInfo Inc.</p>
<p>Tabular data can be extracted from CDs using vendor-supplied access software in ASCII, Binary, DBASE and Lotus formats.</p>
","<p>Help file included with the CD ROM product is available at <a href=""http://library.mcmaster.ca/maps/GDWIN.HLP"">http://library.mcmaster.ca/maps/GDWIN.HLP</a>. Documentation is also available through the GHCN website at the link provided. </p>
","<p>Menne, M.J., I. Durre, B. Korzeniewski, S. McNeal, K. Thomas, X. Yin, S. Anthony, R. Ray, R.S. Vose, B.E.Gleason, and T.G. Houston, 2012: Global Historical Climatology Network - Daily (GHCN-Daily), Version 3. [indicate subset used following decimal, e.g. Version 3.12]. NOAA National Climatic Data Center. http://doi.org/10.7289/V5D21VHZ [access date].</p>
",N/A,,Internet||Library,Climate,Canada||Hamilton||Ontario||USA||World,ASCII||Excel,sites/default/files/geospatial/florida_TMAX_1apr1974.jpg,florida_TMAX_1apr1974.jpg,Sample of GHCN Daily Climate Data (Florida TMAX 1 April 1974),
5803,Global Administrative Areas (GADM),2015,"<p>University of California, Berkeley, Museum of Vertebrate Zoology</p>
","Shapefile (.shp), File Geodatabase (FGDB), Google Earth (.kmz)",Public,"<p><a href=""http://www.gadm.org/"">http://www.gadm.org/</a></p>
","<p>GADM is a database of the location of the world's administrative areas (boundaries).</p>
<p>Administrative areas in this database are countries and lower level subdivisions such as provinces, departments, bibhag, bundeslander, daerah istimewa, fivondronana, krong, landsvæðun, opština, sous-préfecture, counties, and thana. GADM describes where these administrative areas are (the ""spatial features""), and for each area it provides some attributes, foremost being the name and in some cases variant names. The data are in ESRI shapefile and geodatabase format.</p>
<p>From <a href=""http://www.gadm.org/"">http://www.gadm.org/</a> one can download country level files (recommended) or files covering the entire world.</p>
<p>The development of GADM was partly supported by the Gordon and Betty Moore foundation for the BioGeoMancer project. The work was done at the University of California, Berkeley, Museum of Vertebrate Zoology, and the International Rice Research Institute</p>
<p>Notable fields include: NAME (in native language and in English), ALTERNATE NAMES (in native language and in English), TYPE (in native language and in English), VALID FROM and VALID TO dates, and REMARKS.</p>
","<p>No metadata is available on the project website.</p>
","<p>Global Administrative Areas (year). <em>University of California, Berkely</em>. [digital geospatial data]. Available online: <a href=""http://www.gadm.org"">http://www.gadm.org</a> [dd/mm/yyyy].</p>
",N/A,,Internet||Library,Boundaries,World,Vector||Shapefile||KML,sites/default/files/geospatial/gadm09.gif,gadm09.gif,Global Administrative Areas,
5808,Global Biodiversity Information Facility (GBIF) Data Portal,Various,"<p>Global Biodiversity Information Facility</p>
",Various,Public,"<p><a href=""http://www.gbif.org/"">http://www.gbif.org/</a></p>
","<p>The Global Biodiversity Information Facility is an international oragization that is working to make the world's biodiversity data accessible everywhere in the world.  It is one of several projects working under official Biodiversity Information Stardards put forth by TDWG.</p>
<p>The main function of this data portal is to allow users to browse georeferenced data of biota species occurence around the globe.  The user can browse by species, by country, or by dataset/publisher.  The species browser allows users to find the organism group they are looking looking for by taxanomic level (i.e. Kingdom, Phylum, Class etc. down to species and subspecies).  The classifications in the taxonomic browser only provide the Latin names, but a search engine is also available to search species by common names.</p>
<p>By viewing the overview page of a species, an interactive map will display the density of species occurence in a 1 degree grid.  please be aware that the maps only depict species occurence data that has been registered and indexed in GBIF, and therefore may not represent the full distribution of that species.</p>
","<p>URLs linking to the datasets from which the data were compiled are available from the ""overview page"" of the species selected.</p>
","<p>See the <a href=""https://www.gbif.org/citation-guidelines"">Citation Guidelines</a> on the GBIF website.</p>
",N/A,,Internet,Physical Environment||Portals,World,Interactive Map||KML,sites/default/files/geospatial/GBIF.JPG,GBIF.JPG,GBIF.JPG,
8337,Global Land Resources GIS Models and Databases for Poverty and Food Insecurity Mapping,2002,"<p>United Nations. Food and Agriculture Organization (FAO)</p>
","Raster GRID format, Shapefile (.shp)",McMaster Students / Staff / Faculty only,,"<p>This product includes two CDs that comprise models produced from TERRASTAT: Global Land Resources GIS Models and Databases (CD #1) and Land Degradation Assessment (CD #2).</p>
<p>The TERRASTAT Global GIS Models and Databases were created as part of the Poverty and Food Insecurity Mapping Project (GCP/INT/761/NOR) funded by the Government of Norway.</p>
<p>The CDs include a wide variety of pre-made maps in image format, as well as a full suite of raster data compatible with any GIS.</p>
<p>The raster datasets include: der soil prop, drain, pop20005m, potgrainp_h, potgrainp_l, potrainfp_l, soil_prop, atland, cereal, domll, lgp16cl, lgpmap, maize, popmap, probland, rice, soilprod, terrslope, thcli, wheat</p>
","<p>A full description of the contents of each CD is available in the documents folder on the CD.</p>
","<p>Author. <em>CD ROM Title: Article title</em>. [CD ROM]. Edition. Place of publication. production: Publisher/producer, Date.</p>
<p>United Nations Food and Agriculture Organization (FAO) and United Nations Educational Scientific and Cultural Organization (UNESCO). <em>Global land resources GIS models and databases for poverty and food insecurity mapping</em>. [CD ROM]. FAO Land and Water Digital Media Series #20. Rome, Italy: FAO/UNESCO, 2002.</p>
",N/A,,Library,Boundaries||Climate||Human Environment||Physical Environment||Soils,World,Raster||Vector||Shapefile,sites/default/files/geospatial/fao20sample.PNG,FAO20 sample,FAO20 sample,
8363,Global Map of Irrigation Areas (GMIA),2013,"<p>United Nations. Food and Agriculture Administration (FAO)</p>
","Interactive map, Shapefile (.shp), and ASCII grid",Public,"<p>GMIA data can be downloaded from the <a href=""http://www.fao.org/geonetwork?uuid=f79213a0-88fd-11da-a88f-000d939bc5d8"">FAO GeoNetwork</a>.</br>
For time-series data at the country level, see the <a href=""http://www.fao.org/faostat/en/#data/RL"">FAOSTAT website</a>.</p>
","<p>The map shows the amount of area equipped for irrigation around the turn of the 20th century as a percentage of the total area on a raster with a resolution of 5 arc minutes. The area actually irrigated was smaller, but is unknown for most countries. A special note has to be made for Australia and India where the map shows the total area actually irrigated. This is due to the fact that statistics collected in Australia and India refer to actually irrigated area as opposed to statistics with area equipped for irrigation which are collected in most other countries. An explanation of the different terminology to indicate areas under irrigation is given in a <a href=""http://www.fao.org/nr/water/aquastat/irrigationmap/index20.stm"">glossary</a>.</p>
<p>Since 1999 the methodology to produce the map has been improved which made it possible to increase the spatial resolution of the map to 5 arc minutes (about 10 km at the equator). The objective of the cooperation between the Universities and FAO is to develop global GIS coverage of areas equipped for irrigation and to make it available to users in the international community. The data collected through the AQUASTAT surveys will be used to improve the overall quality and resolution of the information.</p>
<p>A digital interactive map, a static global map, downloadable spatial data, and full metadata for each region are available on the website.</p>
","<p>Full data description is available on the website.</p>
","<p>Users are requested to refer to the map as follows:</p>
<pStefan Siebert, Verena Henrich, Karen Frenken and Jacob Burke (2013). <i>Global Map of Irrigation Areas version 5</i>. Rheinische Friedrich-Wilhelms-University, Bonn, Germany / Food and Agriculture Organization of the United Nations, Rome, Italy</p>
",N/A,,Internet||Library,Human Environment||Physical Environment,Canada||USA||World,Vector||Shapefile||Raster||ASCII||Interactive Map,sites/default/files/geospatial/fao34.PNG,Sample map of Irrigation Areas,Sample map of Irrigation Areas,
5842,Grand River Information Network,Various,"<p>Grand River Conservation Authority</p>
","Shapefile (.shp), GeoTIFF, Comma-separated values (.csv), PDF",Public,"<p><a href=""https://data.grandriver.ca/"">https://data.grandriver.ca/</a></p>
","<p>Various GIS coverages in vector and raster format developed by the Grand River Conservation Authority, as part of their mandate to manage the Grand River watershed. Data covers the Grand River watershed area only. The Grand River watershed includes parts of many counties and municipalities in Ontario, including City of Brantford, City of Hamilton, Brant County, Oxford County, Perth County, Dufferin County, Grey County, Haldimand County, Norfolk County, Regional Municipality of Halton, Regional Municipality of Waterloo, Wellington County and the First Nations properties of Six Nations and New Credit.</p>
<p>Examples of vector layers available through the Grand River Information Network include: Cross Section, Damns, Floodplan Mapping Index, Floodplain, Dynamic Lake Beaches, Lake Erosion, Lake Shoreline Reaches, Municipal Boundaries, Rail Trails, Rain Gauge Stations, River Watch Sites, Sewage Treatment Plants, Slope Erosion, Slope Valley, Snow Course, Source Protection Boundaries, Subcatchments, Water Flow Gauges, Water Quality Monitoring Sites, Watershed Boundary, and Wetlands.</p>
<p>Examples of available raster layers are: Depth to Bedrock, Depth to First aquifer, Depth to Water Table, Discharge Areas, Ground Surface, Land Cover, Overburden Thickness, Sand and Gravel Thickness, Vulnerable Areas, and Water Table.</p>","<p>Every dataset has an accompanying comprehensive metadata document provided in PDF format with the downloaded dataset.</p>
","<p>Format: <em>Name of Dataset</em> [computer file]. Place of Publication: Publisher, Year.</p>
<p>Example: <em>Watershed Data</em> [computer file].  Cambridge, ON: Grand River Conservation Authority, 2006.</p>
",N/A,,Internet,Boundaries||Human Environment||Physical Environment||Remote Sensing and Air Photos||Soils||Topography||Water Resources||Portals,Ontario,Raster||geoTIFF||JPG||Vector||Shapefile||PDF,sites/default/files/geospatial/GRCA.jpg,GRCA.jpg,GRCA.jpg,
6235,Great Britain Ordnance Survey (OS) Open Data,Various,"<p>Ordnance Survey</p>
","Vector, Raster, Point Data",Public,"<p><a href=""https://www.ordnancesurvey.co.uk/opendatadownload/products.html"">OS Open Data</a></p>
","<p>Ordnance Survey is Great Britain's national mapping agency.</p>
<p>Ordnance Survey has a variety geospatial datasets available from the website, but only the datatsets listed on the ""OpenData"" page are available for free download.  No account creation is required to access data, but you must provide a functioning email address  to which the download links can be sent.</p>
<p>For detailed datasets, layers may be divided according to the <a href=""http://www.ordnancesurvey.co.uk/oswebsite/gi/nationalgrid/nghelp1.html"">Great Britain National Grid</a>.</p>
<p>Some useful datasets include:</p>
<p><strong>Meridian 2:</strong> A mid-scale representation of Great Britain, primarily consisting of administrative boundaries and transportation infrastructure.  Road networks are simplified to reduce processing time.  Polygon data include county and district boundaries, woodland regions and lake regions. Linear data include roadways (separate layers for Motorways, A roads, B roads, and Minor roads), Railroads, Rivers, Coastline and Administrative Area.  Point data are mostly related to transportation, including road nodes, roundabouts, and station locations.  Also included in the dataset is ""Gridded Height"", which displays topography at using regularly distributed points.</p>
<p><strong>Boundary Line: </strong>A 1:10 000 scale boundaries dataset, containing all levels of electoral and administrative boundaries.  Layers include: Counties, European Constituencies, Metropolitan Districts, Unitary Authorities, and Electoral Regions.  Attribute data are limited to district name and area.</p>
<p><strong>1:250 000 Colour Raster:</strong> A raster ""roadmap"" showing all motorways, A and B roads, all cities and towns, and many villages.  Useful as a transportation base map.  Data are provided in tiles according to the National Grid.  Note that the world files [*.tfw] are provided in a separate directory, and must be placed in the same directory as the *.tif files before importing the data into ArcMap.</p>
<p><strong>Strategi:</strong> An excellent overview of Great Britain providing 21 vector layers relating to Roads, Railways, Airports, Trails, Water Features, Settlements, Political and Administrative Boundaries, Land Use (Wood/Forest, Marsh, Islands etc.), and a variety of ""Other"" features, mostly relating to Historical Sites/Antiquities, Communications, and Tourism.  There are also text layers intended to overlay corresponding geospatial layers.</p>
<p><strong>OS Street View:</strong> A very detailed street-level raster, useful as a high resolution backdrop.  Because of its high resolution, the data are distributed in small tiles (i.e. the data for one National Grid square is made up of almost 400 separate tiles).  Note that the world files [*.tfw] are provided in a separate directory,  and must be placed in the same directory as the *.tif files before  importing the data into ArcMap.</p>
<p><strong>Land-form PANORAMA Contours:</strong> A vector representation of topographic contours, provided in AutoCAD DXF format.  Data are provided in small tiles (i.e. one National Grid square is made up of 25 group layer tiles).  Height data are stored within the attributes of each feature.</p>
","<p>Additional information and specifications are available for some datasets online. Documents provided with the downloaded dataset are limited to brief descriptions of product changes and the licence agreement.</p>
","<p>Dataset name [format]. Producer location: Producer Name, Year.</p>
",N/A,,Internet,Boundaries||Human Environment||Topography||Transportation||Water Resources||Portals,World,Raster||ASCII||TIFF||Vector||Shapefile||GML,sites/default/files/geospatial/Ordnance-survey-logo.png,Ordnance-survey-logo.png,Ordnance Survey logo,
5846,"Great Lakes Information Network (GLIN), Great Lakes Mapping & GIS",Various,"<p>Great Lakes Information Network (GLIN)</p>
","Shapefile (.shp), Google Earth (.kml), Web Map Service",Public,"<p><a href=""http://maps.glin.net/content/basic-gis-data-great-lakes/"">http://maps.glin.net</a></p>
","<p>The mission of Great Lakes Information Network (GLIN) is to provide a centralized location to discover, publish, and acquire geospatial data for areas within the Great Lakes region.</p>
<p>The GIS datasets are each available in multiple geospatial formats, and fall into one of several categories.  These categories include:</p>
<ol>
<li><strong>Biota</strong> - including the distribution of invasive species such as zebra mussels and sea lamprey, as well as a variety of salmon, trout, whitefish and other fish species. </li>
<li><strong>Boundaries/Political</strong> - including Congressional District Boundaries, Provincial/State Boundaries, County Boundaries, Urbanized Areas, and Lake Michigan Islands and Shoreline.</li>
<li><strong>Climatology/Meteorology/Atmosphere</strong> - including Toxic Air Emissions Inventory, and National Climate Data Center station locations.</li>
<li><strong>Elevation </strong> - for the areas surrounding the Great Lakes. Also bathymetry for Lake Superior, Lake Huron, Lake Michigan, Lake Erie and Lake Ontario, plus Lake St. Clair.</li>
<li><strong>Environment</strong> - including Coastal Margins, Nearshore/Offshore Habitat Zones, Areas of Concern, Aquatic/Terrestrial Ecoregions, Stream Gauges, and Impaired Waters as per the Clean Water Act).</li>
<li><strong>Geoscientific Information</strong> - including Landsat 4-7 Coverage, Shoreline Classification, and Substrate Type.</li>
<li><strong>Health</strong> - including a MODIS image of the Great Lakes.</li>
<li><strong>Inland Waters/Hydrography</strong> - including Areas of Concern, Shorelines, Watersheds, and Fish Spawning Access.</li>
<li><strong>Society</strong> - including Surrounding Cities, Golf Courses, Parks, and Scenic Rivers.</li>
<li><strong>Structure/Facilities</strong> - including Airports, Dams, and Coastal Ocean Observing Stations. </li>
<li><strong>Transportation</strong> - including Harbours, Marinas, Ports, and Shipping Routes.</li>
</ol>
<p>Although the Great Lakes Information Network allows you to create a user profile, it is not required in order to download the datasets.</p>
<p>PLEASE NOTE: Some datasets provide coverage for all the Great Lakes, although many only provide coverage for one lake.  The GLIN draws data from many sources, and since many of these sources are American, most of the datasets pertain only to the Lake Michigan Basin.</p>
","<p>No metadata available.</p>
","<p>The Great Lakes Information Network functions as a Data Portal for a variety of Great Lakes data.  As such, you must cite the actual author of the dataset, which is indicated right next to the dataset titles in the GLIN directory.</p>
<p><strong>Format:</strong> Author. <i>Title</i> [format].  Place of publication: Publisher, Date.</p>
<p><strong>Example:</strong> United States Geological Survey. <i>Zebra mussel (Dreissena polymorpha) locations in the Great Lakes region</i> [computer file].   Reston, VA: Great Lakes Information Network, 2008.</p>
",N/A,,Internet,Boundaries||Physical Environment||Remote Sensing and Air Photos||Water Resources||Portals,Ontario||USA,GML||JPG||KML||PDF||Vector||Shapefile,sites/default/files/geospatial/GLIN.JPG,GLIN.JPG,Great Lakes Information Network,
