Nid,Title,Year,Author,Format,Who can use this data,URL,Abstract,Metadata,How to Cite This,Scholars Geoportal URL,To Delete,Geospatial Availability,Geospatial Subjects New,Geospatial Geography,Geospatial Formats,filepath,field_geospatial_image_alt,field_geospatial_image_title,SGP_id,layer_thumb
6259,Global Historical Climatology Network (GHCN) Global Daily Climate Data,1763 - 2017,"<p>NOAA National Centers for Environmental Information</p>
",,Public,"<p>National Centers for Environmental Information - <a href=""https://www.ncdc.noaa.gov/ghcn-daily-description"">Global Historical Climate Network - Daily</a></p>","<p>Daily climate data for stations worldwide, covering the time period 1763 - 2017.</p>
<p>Includes information about precipition (in millimetres), snowfall (in millimetres), snow depth (in millimetres), maximum temperature (in degrees C), minimum temperature (in degrees C) and temperature at time of observation (in degrees C).</p>
<p>Data available varies for different countries, stations and years. Number of stations per country is also variable, with more data available for the United States than for other countries.</p>
<p>Data source = United States National Climatic Data Center, Global Historical Climatology Network. This product was purchased as a 12 CD-ROM set from EarthInfo Inc.</p>
<p>Tabular data can be extracted from CDs using vendor-supplied access software in ASCII, Binary, DBASE and Lotus formats.</p>
","<p>Help file included with the CD ROM product is available at <a href=""http://library.mcmaster.ca/maps/GDWIN.HLP"">http://library.mcmaster.ca/maps/GDWIN.HLP</a>. Documentation is also available through the GHCN website at the link provided. </p>
","<p>Menne, M.J., I. Durre, B. Korzeniewski, S. McNeal, K. Thomas, X. Yin, S. Anthony, R. Ray, R.S. Vose, B.E.Gleason, and T.G. Houston, 2012: Global Historical Climatology Network - Daily (GHCN-Daily), Version 3. [indicate subset used following decimal, e.g. Version 3.12]. NOAA National Climatic Data Center. http://doi.org/10.7289/V5D21VHZ [access date].</p>
",N/A,,Internet||Library,Climate,Canada||Hamilton||Ontario||USA||World,ASCII||Excel,sites/default/files/geospatial/florida_TMAX_1apr1974.jpg,florida_TMAX_1apr1974.jpg,Sample of GHCN Daily Climate Data (Florida TMAX 1 April 1974),,
5803,Global Administrative Areas (GADM),2015,"<p>University of California, Berkeley, Museum of Vertebrate Zoology</p>
","Shapefile (.shp), File Geodatabase (FGDB), Google Earth (.kmz)",Public,"<p><a href=""http://www.gadm.org/"">http://www.gadm.org/</a></p>
","<p>GADM is a database of the location of the world's administrative areas (boundaries).</p>
<p>Administrative areas in this database are countries and lower level subdivisions such as provinces, departments, bibhag, bundeslander, daerah istimewa, fivondronana, krong, landsvæðun, opština, sous-préfecture, counties, and thana. GADM describes where these administrative areas are (the ""spatial features""), and for each area it provides some attributes, foremost being the name and in some cases variant names. The data are in ESRI shapefile and geodatabase format.</p>
<p>From <a href=""http://www.gadm.org/"">http://www.gadm.org/</a> one can download country level files (recommended) or files covering the entire world.</p>
<p>The development of GADM was partly supported by the Gordon and Betty Moore foundation for the BioGeoMancer project. The work was done at the University of California, Berkeley, Museum of Vertebrate Zoology, and the International Rice Research Institute</p>
<p>Notable fields include: NAME (in native language and in English), ALTERNATE NAMES (in native language and in English), TYPE (in native language and in English), VALID FROM and VALID TO dates, and REMARKS.</p>
","<p>No metadata is available on the project website.</p>
","<p>Global Administrative Areas (year). <em>University of California, Berkely</em>. [digital geospatial data]. Available online: <a href=""http://www.gadm.org"">http://www.gadm.org</a> [dd/mm/yyyy].</p>
",N/A,,Internet||Library,Boundaries,World,Vector||Shapefile||KML,sites/default/files/geospatial/gadm09.gif,gadm09.gif,Global Administrative Areas,,
5808,Global Biodiversity Information Facility (GBIF) Data Portal,Various,"<p>Global Biodiversity Information Facility</p>
",Various,Public,"<p><a href=""http://www.gbif.org/"">http://www.gbif.org/</a></p>
","<p>The Global Biodiversity Information Facility is an international oragization that is working to make the world's biodiversity data accessible everywhere in the world.  It is one of several projects working under official Biodiversity Information Stardards put forth by TDWG.</p>
<p>The main function of this data portal is to allow users to browse georeferenced data of biota species occurence around the globe.  The user can browse by species, by country, or by dataset/publisher.  The species browser allows users to find the organism group they are looking looking for by taxanomic level (i.e. Kingdom, Phylum, Class etc. down to species and subspecies).  The classifications in the taxonomic browser only provide the Latin names, but a search engine is also available to search species by common names.</p>
<p>By viewing the overview page of a species, an interactive map will display the density of species occurence in a 1 degree grid.  please be aware that the maps only depict species occurence data that has been registered and indexed in GBIF, and therefore may not represent the full distribution of that species.</p>
","<p>URLs linking to the datasets from which the data were compiled are available from the ""overview page"" of the species selected.</p>
","<p>See the <a href=""https://www.gbif.org/citation-guidelines"">Citation Guidelines</a> on the GBIF website.</p>
",N/A,,Internet,Physical Environment||Portals,World,Interactive Map||KML,sites/default/files/geospatial/GBIF.JPG,GBIF.JPG,GBIF.JPG,,
8337,Global Land Resources GIS Models and Databases for Poverty and Food Insecurity Mapping,2002,"<p>United Nations. Food and Agriculture Organization (FAO)</p>
","Raster GRID format, Shapefile (.shp)",McMaster Students / Staff / Faculty only,,"<p>This product includes two CDs that comprise models produced from TERRASTAT: Global Land Resources GIS Models and Databases (CD #1) and Land Degradation Assessment (CD #2).</p>
<p>The TERRASTAT Global GIS Models and Databases were created as part of the Poverty and Food Insecurity Mapping Project (GCP/INT/761/NOR) funded by the Government of Norway.</p>
<p>The CDs include a wide variety of pre-made maps in image format, as well as a full suite of raster data compatible with any GIS.</p>
<p>The raster datasets include: der soil prop, drain, pop20005m, potgrainp_h, potgrainp_l, potrainfp_l, soil_prop, atland, cereal, domll, lgp16cl, lgpmap, maize, popmap, probland, rice, soilprod, terrslope, thcli, wheat</p>
","<p>A full description of the contents of each CD is available in the documents folder on the CD.</p>
","<p>Author. <em>CD ROM Title: Article title</em>. [CD ROM]. Edition. Place of publication. production: Publisher/producer, Date.</p>
<p>United Nations Food and Agriculture Organization (FAO) and United Nations Educational Scientific and Cultural Organization (UNESCO). <em>Global land resources GIS models and databases for poverty and food insecurity mapping</em>. [CD ROM]. FAO Land and Water Digital Media Series #20. Rome, Italy: FAO/UNESCO, 2002.</p>
",N/A,,Library,Boundaries||Climate||Human Environment||Physical Environment||Soils,World,Raster||Vector||Shapefile,sites/default/files/geospatial/fao20sample.PNG,FAO20 sample,FAO20 sample,,
8363,Global Map of Irrigation Areas (GMIA),2013,"<p>United Nations. Food and Agriculture Administration (FAO)</p>
","Interactive map, Shapefile (.shp), and ASCII grid",Public,"<p>GMIA data can be downloaded from the <a href=""http://www.fao.org/geonetwork?uuid=f79213a0-88fd-11da-a88f-000d939bc5d8"">FAO GeoNetwork</a>.</br>
For time-series data at the country level, see the <a href=""http://www.fao.org/faostat/en/#data/RL"">FAOSTAT website</a>.</p>
","<p>The map shows the amount of area equipped for irrigation around the turn of the 20th century as a percentage of the total area on a raster with a resolution of 5 arc minutes. The area actually irrigated was smaller, but is unknown for most countries. A special note has to be made for Australia and India where the map shows the total area actually irrigated. This is due to the fact that statistics collected in Australia and India refer to actually irrigated area as opposed to statistics with area equipped for irrigation which are collected in most other countries. An explanation of the different terminology to indicate areas under irrigation is given in a <a href=""http://www.fao.org/nr/water/aquastat/irrigationmap/index20.stm"">glossary</a>.</p>
<p>Since 1999 the methodology to produce the map has been improved which made it possible to increase the spatial resolution of the map to 5 arc minutes (about 10 km at the equator). The objective of the cooperation between the Universities and FAO is to develop global GIS coverage of areas equipped for irrigation and to make it available to users in the international community. The data collected through the AQUASTAT surveys will be used to improve the overall quality and resolution of the information.</p>
<p>A digital interactive map, a static global map, downloadable spatial data, and full metadata for each region are available on the website.</p>
","<p>Full data description is available on the website.</p>
","<p>Users are requested to refer to the map as follows:</p>
<pStefan Siebert, Verena Henrich, Karen Frenken and Jacob Burke (2013). <i>Global Map of Irrigation Areas version 5</i>. Rheinische Friedrich-Wilhelms-University, Bonn, Germany / Food and Agriculture Organization of the United Nations, Rome, Italy</p>
",N/A,,Internet||Library,Human Environment||Physical Environment,Canada||USA||World,Vector||Shapefile||Raster||ASCII||Interactive Map,sites/default/files/geospatial/fao34.PNG,Sample map of Irrigation Areas,Sample map of Irrigation Areas,,
5842,Grand River Information Network,Various,"<p>Grand River Conservation Authority</p>
","Shapefile (.shp), GeoTIFF, Comma-separated values (.csv), PDF",Public,"<p><a href=""https://data.grandriver.ca/"">https://data.grandriver.ca/</a></p>
","<p>Various GIS coverages in vector and raster format developed by the Grand River Conservation Authority, as part of their mandate to manage the Grand River watershed. Data covers the Grand River watershed area only. The Grand River watershed includes parts of many counties and municipalities in Ontario, including City of Brantford, City of Hamilton, Brant County, Oxford County, Perth County, Dufferin County, Grey County, Haldimand County, Norfolk County, Regional Municipality of Halton, Regional Municipality of Waterloo, Wellington County and the First Nations properties of Six Nations and New Credit.</p>
<p>Examples of vector layers available through the Grand River Information Network include: Cross Section, Damns, Floodplan Mapping Index, Floodplain, Dynamic Lake Beaches, Lake Erosion, Lake Shoreline Reaches, Municipal Boundaries, Rail Trails, Rain Gauge Stations, River Watch Sites, Sewage Treatment Plants, Slope Erosion, Slope Valley, Snow Course, Source Protection Boundaries, Subcatchments, Water Flow Gauges, Water Quality Monitoring Sites, Watershed Boundary, and Wetlands.</p>
<p>Examples of available raster layers are: Depth to Bedrock, Depth to First aquifer, Depth to Water Table, Discharge Areas, Ground Surface, Land Cover, Overburden Thickness, Sand and Gravel Thickness, Vulnerable Areas, and Water Table.</p>","<p>Every dataset has an accompanying comprehensive metadata document provided in PDF format with the downloaded dataset.</p>
","<p>Format: <em>Name of Dataset</em> [computer file]. Place of Publication: Publisher, Year.</p>
<p>Example: <em>Watershed Data</em> [computer file].  Cambridge, ON: Grand River Conservation Authority, 2006.</p>
",N/A,,Internet,Boundaries||Human Environment||Physical Environment||Remote Sensing and Air Photos||Soils||Topography||Water Resources||Portals,Ontario,Raster||geoTIFF||JPG||Vector||Shapefile||PDF,sites/default/files/geospatial/GRCA.jpg,GRCA.jpg,GRCA.jpg,,
6235,Great Britain Ordnance Survey (OS) Open Data,Various,"<p>Ordnance Survey</p>
","Vector, Raster, Point Data",Public,"<p><a href=""https://www.ordnancesurvey.co.uk/opendatadownload/products.html"">OS Open Data</a></p>
","<p>Ordnance Survey is Great Britain's national mapping agency.</p>
<p>Ordnance Survey has a variety geospatial datasets available from the website, but only the datatsets listed on the ""OpenData"" page are available for free download.  No account creation is required to access data, but you must provide a functioning email address  to which the download links can be sent.</p>
<p>For detailed datasets, layers may be divided according to the <a href=""http://www.ordnancesurvey.co.uk/oswebsite/gi/nationalgrid/nghelp1.html"">Great Britain National Grid</a>.</p>
<p>Some useful datasets include:</p>
<p><strong>Meridian 2:</strong> A mid-scale representation of Great Britain, primarily consisting of administrative boundaries and transportation infrastructure.  Road networks are simplified to reduce processing time.  Polygon data include county and district boundaries, woodland regions and lake regions. Linear data include roadways (separate layers for Motorways, A roads, B roads, and Minor roads), Railroads, Rivers, Coastline and Administrative Area.  Point data are mostly related to transportation, including road nodes, roundabouts, and station locations.  Also included in the dataset is ""Gridded Height"", which displays topography at using regularly distributed points.</p>
<p><strong>Boundary Line: </strong>A 1:10 000 scale boundaries dataset, containing all levels of electoral and administrative boundaries.  Layers include: Counties, European Constituencies, Metropolitan Districts, Unitary Authorities, and Electoral Regions.  Attribute data are limited to district name and area.</p>
<p><strong>1:250 000 Colour Raster:</strong> A raster ""roadmap"" showing all motorways, A and B roads, all cities and towns, and many villages.  Useful as a transportation base map.  Data are provided in tiles according to the National Grid.  Note that the world files [*.tfw] are provided in a separate directory, and must be placed in the same directory as the *.tif files before importing the data into ArcMap.</p>
<p><strong>Strategi:</strong> An excellent overview of Great Britain providing 21 vector layers relating to Roads, Railways, Airports, Trails, Water Features, Settlements, Political and Administrative Boundaries, Land Use (Wood/Forest, Marsh, Islands etc.), and a variety of ""Other"" features, mostly relating to Historical Sites/Antiquities, Communications, and Tourism.  There are also text layers intended to overlay corresponding geospatial layers.</p>
<p><strong>OS Street View:</strong> A very detailed street-level raster, useful as a high resolution backdrop.  Because of its high resolution, the data are distributed in small tiles (i.e. the data for one National Grid square is made up of almost 400 separate tiles).  Note that the world files [*.tfw] are provided in a separate directory,  and must be placed in the same directory as the *.tif files before  importing the data into ArcMap.</p>
<p><strong>Land-form PANORAMA Contours:</strong> A vector representation of topographic contours, provided in AutoCAD DXF format.  Data are provided in small tiles (i.e. one National Grid square is made up of 25 group layer tiles).  Height data are stored within the attributes of each feature.</p>
","<p>Additional information and specifications are available for some datasets online. Documents provided with the downloaded dataset are limited to brief descriptions of product changes and the licence agreement.</p>
","<p>Dataset name [format]. Producer location: Producer Name, Year.</p>
",N/A,,Internet,Boundaries||Human Environment||Topography||Transportation||Water Resources||Portals,World,Raster||ASCII||TIFF||Vector||Shapefile||GML,sites/default/files/geospatial/Ordnance-survey-logo.png,Ordnance-survey-logo.png,Ordnance Survey logo,,
5846,"Great Lakes Information Network (GLIN), Great Lakes Mapping & GIS",Various,"<p>Great Lakes Information Network (GLIN)</p>
","Shapefile (.shp), Google Earth (.kml), Web Map Service",Public,"<p><a href=""http://maps.glin.net/content/basic-gis-data-great-lakes/"">http://maps.glin.net</a></p>
","<p>The mission of Great Lakes Information Network (GLIN) is to provide a centralized location to discover, publish, and acquire geospatial data for areas within the Great Lakes region.</p>
<p>The GIS datasets are each available in multiple geospatial formats, and fall into one of several categories.  These categories include:</p>
<ol>
<li><strong>Biota</strong> - including the distribution of invasive species such as zebra mussels and sea lamprey, as well as a variety of salmon, trout, whitefish and other fish species. </li>
<li><strong>Boundaries/Political</strong> - including Congressional District Boundaries, Provincial/State Boundaries, County Boundaries, Urbanized Areas, and Lake Michigan Islands and Shoreline.</li>
<li><strong>Climatology/Meteorology/Atmosphere</strong> - including Toxic Air Emissions Inventory, and National Climate Data Center station locations.</li>
<li><strong>Elevation </strong> - for the areas surrounding the Great Lakes. Also bathymetry for Lake Superior, Lake Huron, Lake Michigan, Lake Erie and Lake Ontario, plus Lake St. Clair.</li>
<li><strong>Environment</strong> - including Coastal Margins, Nearshore/Offshore Habitat Zones, Areas of Concern, Aquatic/Terrestrial Ecoregions, Stream Gauges, and Impaired Waters as per the Clean Water Act).</li>
<li><strong>Geoscientific Information</strong> - including Landsat 4-7 Coverage, Shoreline Classification, and Substrate Type.</li>
<li><strong>Health</strong> - including a MODIS image of the Great Lakes.</li>
<li><strong>Inland Waters/Hydrography</strong> - including Areas of Concern, Shorelines, Watersheds, and Fish Spawning Access.</li>
<li><strong>Society</strong> - including Surrounding Cities, Golf Courses, Parks, and Scenic Rivers.</li>
<li><strong>Structure/Facilities</strong> - including Airports, Dams, and Coastal Ocean Observing Stations. </li>
<li><strong>Transportation</strong> - including Harbours, Marinas, Ports, and Shipping Routes.</li>
</ol>
<p>Although the Great Lakes Information Network allows you to create a user profile, it is not required in order to download the datasets.</p>
<p>PLEASE NOTE: Some datasets provide coverage for all the Great Lakes, although many only provide coverage for one lake.  The GLIN draws data from many sources, and since many of these sources are American, most of the datasets pertain only to the Lake Michigan Basin.</p>
","<p>No metadata available.</p>
","<p>The Great Lakes Information Network functions as a Data Portal for a variety of Great Lakes data.  As such, you must cite the actual author of the dataset, which is indicated right next to the dataset titles in the GLIN directory.</p>
<p><strong>Format:</strong> Author. <i>Title</i> [format].  Place of publication: Publisher, Date.</p>
<p><strong>Example:</strong> United States Geological Survey. <i>Zebra mussel (Dreissena polymorpha) locations in the Great Lakes region</i> [computer file].   Reston, VA: Great Lakes Information Network, 2008.</p>
",N/A,,Internet,Boundaries||Physical Environment||Remote Sensing and Air Photos||Water Resources||Portals,Ontario||USA,GML||JPG||KML||PDF||Vector||Shapefile,sites/default/files/geospatial/GLIN.JPG,GLIN.JPG,Great Lakes Information Network,,
5712,Hamilton Digital Orthophotos 1999,Select years between 1999 and 2014,"<p>City of Hamilton, Information Technology Services, GIS Services.</p>
",MrSID,McMaster Students / Staff / Faculty only,,"<p>Digital Orthophotos are available for the following years:</br>
<ul>
<li>1999</li>
        <ul>
                <li>Built-up urban areas of the new City of Hamilton (formerly Regional Municipality of Hamilton-Wentworth)</li>        
                <li>Rural areas are excluded - see <a href=""http://library.mcmaster.ca/maps/index99.pdf"">index</a></li>
                <li>The photographs were taken over several days in May 1999</li>
        </ul>
 <li>2002</li>
         <ul>
                <li>Taken in the spring of 2002 cover the City of Hamilton</li>
                <li>See <a href=""http://library.mcmaster.ca/sites/default/files/geospat-hamilton-ortho-index02.pdf"">index</a></li>
        </ul>
<li>2005</li>
        <ul>
                <li>Digital colour orthophotos covering the City of Hamilton</li>
                <li>Coverage shot in spring of 2005</li>
                <li>Two different resolutions available: 1 m resolution image is a single mosaic of the whole City; 20 cm resolution is three separate mosaics covering North, Central and South portions of the City</li>
                <li>Index showing the file divisions appears at <a href=""http://library.mcmaster.ca/maps/airphotos/2005_20cm.htm"">http://library.mcmaster.ca/maps/airphotos/2005_20cm.htm</a></li>
        </ul>
<li>2007</li>
        <ul>
                <li>1m resolution imagery is provided as a single mosaic of the whole city, whereas the 15cm imagery is provided in 1km tiles</li>
                <li>An index showing the locations and file numbers of the individual tiles is available in the Map Collection (H:\AirPhotos\Hamilton\2007_Orthophotos\2007 Index.pdf)</li>
        </ul>
<li>2010</li>
        <ul>
                <li>Digital colour orthophotos for the city of Hamilton at a 15cm resolution</li>
        </ul>
<li>2014</li>
<ul>
                <li>Digital colour orthophotos for the city of Hamilton at a 15cm resolution</li>
        </ul>
</ul>
<p><h3>Request data</h3>To request this data, please fill out the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSeTbWY6CcyIxhBlNsWoIiJj31cyzRXQY3Jjo27ZST8xRBBa9Q/viewform?c=0&w=1"">Data Use Agreement</a>.</p>","<p>No metadata available</p>
","<p>City of Hamilton Digital Orthophotos [computer file]. Hamilton, Ontario: The City of Hamilton, 1999.</p>
",N/A,,Library,Remote Sensing and Air Photos,Hamilton,Raster||MrSID,sites/default/files/geospatial/geospat-mills-ortho.jpg,geospat-mills-ortho.jpg,Sample of 1999 orthophoto (Mills Library),,
5961,Hamilton Parcel/Land Use Data,2009 / 2010,"<p>Teranet Inc. and The City of Hamilton, Dept. of Planning and Economic Development.</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>This data was provided by The City of Hamilton, Dept. of Planning and Economic Development, GIS - Planning and Analysis.</p>
<p>This dataset delineates all land parcels in the City of Hamilton, and provides the street address, as well as the type of land use for each parcel.  Land use is generally classified as: Residential, Institutional, Office, Commercial, Warehousing/Wholesale/Storage, Industrial, Utilities/Transportation, Parks/Open Space, Agriculture, Vacant Lands/Parking, and Miscellaneous.</p>
<p>Within each of these classes, the parcels are more specifically classified, as described below:</p>
<ul>
<li>Residential - subdivided into detached house, semi-detached house, row/townhouse, apartment, mobile Home etc.</li>
<li>Institutional - subdivided into pre-school, elementary/secondary school, post secondary institution, place of worship, galleries, emergency and military services, government, hospital, Rooming House, Correctional Services etc.</li>
<li>Commercial - subdivided into general retail, recreation and sports clubs, restaurant, auto sales and repairs, auto service station, accomodations etc.</li>
<li>Industrial - subdivided into light, medium, and heavy industry, as well as mines/quarries/gravel pits.</li>
<li>Utilities - subdivided into heat/hydro/energy station, waste water, landfill, and transmission.</li>
<li>Transportation - subdivided into railway yards, public depots, port facilities and airports.</li>
<li>Parks/Open Space - subdivided into outdoor amusement/exhibition grounds, open space, golf course, burial facilities etc.</li>
<li>Vacant Lots - subdivided by redisential, institutional, industrial etc.</li>
<li>Parking - subdivided by private and municipal.</li>
</ul>
<p><h3>Request data</h3>To request this data, please fill out the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSeTbWY6CcyIxhBlNsWoIiJj31cyzRXQY3Jjo27ZST8xRBBa9Q/viewform?c=0&w=1"">Data Use Agreement</a>.</p>
","<p>A PDF document describing all the specific land use codes is available through a <a href=""http://library.mcmaster.ca/maps/Land_Use_Codes_2009.pdf"">PDF file</a>.</p>
","<p><em>Teranet Inc., Hamilton Parcel/Land Use Data</em> [computer file]. Hamilton, Ontario: City of Hamilton, Dept. of Planning and Economic Development, 2009.</p>
",N/A,,Library,Boundaries||Human Environment,Hamilton,Vector||Shapefile,sites/default/files/geospatial/landuse_screenshot.jpg,landuse_screenshot.jpg,Hamilton Parcel/Land Use Westdale,,
6142,Hamilton Street Railway (HSR) Bus Routes,2007 - ,"<p>City of Hamilton</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,"<p>Current HSR Transit Feed data in General Transit Feed Specification format (GTFS) is available through the City of Hamilton's <a href=""https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-program"">Open Data Program website</a>.</p>","<p>This dataset describes all bus routes for the Hamilton Street Rail (HSR) public transit system, as well as all the bus stops associated with each route.</p>
<p>Attributes associated with <em>bus routes</em>: Each bus route is stored as a single polyline.  For each route, the Route Number and Route Name are stored as attributes.</p>
<p>Attributes associated with <em>bus stops</em>: Route Number, Route Name, Direction (North, South, East, or Westbound), ""Node Name"" (if applicable), Stop Name (usually in the format of ""[Street Name] at [Intersecting Street Name]""), ""On"" Street, ""At"" Street, and Interactive Voice Response (IVR) Number (i.e. the extension you would call to check bus times for that stop).</p>
<p><h3>Request data</h3>To request this data, please fill out the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSeTbWY6CcyIxhBlNsWoIiJj31cyzRXQY3Jjo27ZST8xRBBa9Q/viewform?c=0&w=1"">Data Use Agreement</a>.</p>","<p>No metadata document was provided for this dataset.</br>
Reference material is available <a href=""https://developers.google.com/transit/gtfs-realtime/reference/"">online</a> for transit feed data.</p>
","<p><em>Hamilton Street Railway Bus Routes</em> [computer file]. Hamilton, ON: The City of Hamilton [2008].</p>
",N/A,,Library||Internet,Human Environment||Transportation,Hamilton,Vector||Shapefile,sites/default/files/geospatial/HSR_bus_routes.JPG,HSR_bus_routes.JPG,HSR Bus Routes,,
8311,Hamilton Tree Inventory,2009,"<p>City of Hamilton, Ontario</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>This data contains information about tree species in Hamilton, Ontario. The attribute table contains information such as the diameter of a tree, the conditon of the tree, and whether the tree is likely to come in contact with a hydro utility line when it reaches its mature height. A boundary shapefile of Hamilton can also be included with the tree inventory shapefile so as to get a sense of the location of the trees.</p>
<p><h3>Request data</h3>To request this data, please fill out the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSeTbWY6CcyIxhBlNsWoIiJj31cyzRXQY3Jjo27ZST8xRBBa9Q/viewform?c=0&w=1"">Data Use Agreement</a>.</p>","<p>Available in PDF format with a copy of the file.</p>
","<p><em>Tree Inventory</em> [Computer File]. Hamilton, Ontario: City of Hamilton, 2009.</p>
",N/A,,Library,Physical Environment,Hamilton,PDF||Vector||Shapefile||Excel,sites/default/files/geospatial/Tree_inventory_demo.jpg,Tree Inventory,Tree Inventory,,
5811,Hamilton Vector Data Set 2006,2003 - 2016,"<p>City of Hamilton, Information Technology Services, GIS Services.</p>
",Shapefile (.shp),McMaster Students / Staff / Faculty only,,"<p>Vector layers for the City of Hamilton include: Airport Runways, Arenas, Beaches, Business Improvement Areas, Buildings, Cemeteries, City Boundary, City Playlots, City Pools, Colleges/Universities, Conservation Authorities, Contours (1m, 10m and 20m intervals), Direction Arrows, Election Poll Boundaries, Escarpment, Fire Stations, Golf Courses, Hospitals, Lakes, Libraries, Long Term Care Facilities, Municipal Boundary, Museums/Galleries, Neighbourhood Boundaries, Parking Lots, Parks, Places of Worship, Planning Units, Police Stations, Railways, Recreation Centres, Residential Care Centres, Rivers, Roads (Highways, Major Roads, Minor Roads, Access Ways, Intersections, Sidewalks), Schools, Settlements, Sewers, Shorelines, Trails, Transmission Lines, Ward Boundaries, Water Hydrants, Water Mains, Water Reservoirs, and Water Storage Tanks.</p>
<p>Informative attribute data is included with each layer.  Roads and trails have names, calculated length etc.  Points of interest have general attributes (name, address, phone number, square footage etc.) as well as specific attributes (e.g. libraries have # of books in circulation, places of worship have denomination, fire hydrants have flow rates etc.).</p>
<p><h3>Request data</h3>To request this data, please fill out the <a href=""https://docs.google.com/forms/d/e/1FAIpQLSeTbWY6CcyIxhBlNsWoIiJj31cyzRXQY3Jjo27ZST8xRBBa9Q/viewform?c=0&w=1"">Data Use Agreement</a>.</p>","<p>No metadata available</p>
","<p>City of Hamilton Vector GIS Data [computer file]. Hamilton, ON: City of Hamilton GIS Services, 2006.</p>
",N/A,,Library,Boundaries||Human Environment||Physical Environment||Topography||Transportation||Water Resources,Hamilton,Vector||Shapefile,sites/default/files/geospatial/HamiltonVector2006.jpg,HamiltonVector2006.jpg,Hamilton Vector data 2006,,
6233,Hospital Service Areas (USA),2006,"<p>The Dartmouth Atlas of Health Care</p>
",Shapefile (.shp),Public,"<p><a href=""http://www.dartmouthatlas.org/tools/downloads.aspx"">Dartmouth Atlas of Health Care</a></p>
","<p>Provided by the Dartmouth Atlas of Health Care, this dataset delineates Hospital Service Areas (HSAs), Primary Care Service Areas (PCSAs), and Hospital Referral Regions (HRRs) for all of the United States.  Attribute data are limited to ID number and HSA/HRR name.</p>
<p>More information about HSAs and HRRs can be found on the <a href=""http://www.dartmouthatlas.org/tools/downloads.aspx"">Dartmouth Atlas of Health Care website</a>.</p>
","<p>No metadata documentation provided with these files.</p>
","<p><em>Hospital Service Areas of the United States</em>. [computer file]. Hanover, New Hampshire: The Dartmouth Atlas of Health Care, 2006.</p>
",N/A,,Internet,Boundaries,USA,Vector||Shapefile,sites/default/files/geospatial/HSA.JPG,HSA.JPG,Hospital Service Areas in the U.S.,,
8952,Japan Tsunami Affected Area – March 2011,2011,"<p>East View Cartographic</p>
",GeoTIFF,McMaster Students / Staff / Faculty only,,"<p>Immediately following the earthquake and tsunami off the coast of northern Japan (March 2011), East View Cartographic (EVC) was approached by the Japan Map Center in Tokyo to make Japanese-English versions of eighteen 1:25,000 scale topographic maps over the affected area in and around Sendai, Japan. Relief workers from around the world needed print mapping in English. The 1:25,000 series is the largest scale series with full country coverage of Japan in georeferenced raster format (GeoTIFF).</p>
<p>Index file of areas covered included in PDF format.</p>
<p>Datum can be changed to Tokyo Datum (add + 12.3 seconds to latitude and add – 10.8 seconds to longitude).</p>
<p>Contour lines and bathymetric points interval are 10m.</p>
","<p>A user guide in PDF format is supplied with files.</p>
","<p>East View Cartographic. <em>Japan Tsunami Affected Area</em> [computer file]. Minneapolis, MN: East View Companies, 2011.</p>
",N/A,,Library,Physical Environment||Topography,World,Raster||geoTIFF,sites/default/files/geospatial/JapanTsunamiSample.JPG,JapanTsunamiSample.jpg,JapanTsunamiSample.jpg,,
